,cross_correlation,max_amplitude_difference,p_wave_onset_difference
0,0.01660858717752388,0.24855188433593933,2350
1,0.9741446243790799,0.6249174296903481,128
2,0.9878620189731301,0.6096542714822798,636
3,0.8613157796509426,0.4273331160638183,167
4,0.7871569353066802,0.4360277978570513,162
5,0.9979068185255678,0.5958517278992358,12
6,0.8248586548742897,0.5449892909007364,182
7,0.033209029922980256,0.11673026667411451,1631
8,0.949357913548283,0.6883522710897645,2
9,0.8423323604660646,0.6188097202096636,166
10,0.9929120678956133,0.5872592689016659,146
11,0.004828949143438703,0.4062140675792245,3473
12,0.9954687219137939,0.5775525501638427,2
13,0.9846076900212564,0.6098246926282368,7
14,0.8930425441663586,0.568233963780652,73
15,0.03511743301407349,0.21149282062179126,4009
16,0.3149917483439419,0.32863589370496116,13
17,0.9937840152226294,0.5777588803982362,4
18,0.9952949046297477,0.607797386974111,1
19,0.07893735443030359,0.824346044444976,481
20,0.7722545125559467,0.5463769378004948,124
21,0.6971116897977119,0.4781403289308403,2
22,0.10992756040647571,0.25322916884220664,2181
23,0.5502843158473613,0.6764273567553183,86
24,0.923676950063789,0.5633949753766442,3
25,0.3064349517951844,0.28718943033812644,476
26,0.005034120132293116,0.2645987603395542,1252
27,0.917775617295205,0.6300560198651001,5
28,0.573316898904554,0.9251188871974536,3
29,0.99187812954955,0.5987457523632407,352
30,0.9908719271643337,0.6025246318619856,2
31,0.8712087390160286,0.4117749444428554,31
32,-0.013268364824266042,0.7692531743011213,395
33,0.009429877836953007,0.14365521644973145,866
34,0.03488604089163836,0.4530165362322069,2001
35,0.42627026072229,0.4006473997933119,476
36,0.2625536640659139,0.6937291263660421,175
37,0.9876071276129207,0.6231859965322774,173
38,0.8972963494678746,0.4659355293843742,88
39,0.427609328374646,0.6329509207524452,142
40,0.5401902114067436,0.5171484763778812,507
41,0.566379064767963,0.24113783760001972,3
42,0.8976536269573264,0.7086050334844678,1
43,0.926794421855281,0.5498843344234098,31
44,-0.0002726004405914503,0.5229831213454704,1464
45,0.7544019241932981,0.5786266009690636,613
46,0.34863130378398527,1.3269089550698774,215
47,0.0004886160518977714,0.2966380701955943,3008
48,0.9434967024700918,0.5689222489031508,9
49,0.8645986016946643,0.5615438154670487,226
50,0.5786442899230159,0.36270744572758795,112
51,0.9498093081564165,0.6427737407099241,2
52,0.46045000350628795,0.46426628993320596,39
53,0.3211234908738164,0.39338424152513424,234
54,0.041413634150870335,0.19382652001454143,1
55,0.009084259860799117,0.29558014847101655,515
56,0.9663808675224824,0.6282845181548904,3
57,0.013457966842152436,0.2930907393234616,1832
58,0.6456814948094854,0.3481557046858055,172
59,0.6822714125562505,0.6879553783389247,1659
60,0.6670411839982512,0.6174353231294819,170
61,0.9556078643727571,0.5502208969430433,115
62,0.6378378604030578,0.44186688892405923,164
63,0.36045926543040036,1.0243003613501225,127
64,0.0018549562473835612,0.8039484784231367,2169
65,0.9613187787401819,0.5634390885379341,13
66,0.6254161699595838,0.3485632173905685,112
67,0.9910908311732352,0.5717812889259268,560
68,0.9909402790010046,0.5941873896173346,2
69,0.000855732418219193,1.1462892358595516,2009
70,0.043150320264107714,0.2567058397837547,592
71,0.9173687842444658,0.5463454674234935,587
72,0.8194025177827657,0.6316107317589306,4
73,0.021588286041852617,0.6262852153168785,1460
74,0.7775466501916177,0.47741264274936407,339
75,0.8650278179561919,0.633020887105955,0
76,0.8121949098231727,0.3766425158543564,280
77,0.9076666978554908,0.465189078243036,346
78,0.013335732321769125,0.9422619938996554,2278
79,0.9816623193771619,0.5852818938932626,3
80,0.006150088852775948,0.7178985443529785,98
81,0.6729113123638536,0.6526371665895353,529
82,0.5836338936686271,0.4611715383651045,212
83,0.030402945552857392,0.7768968737193132,363
84,0.889917863811061,0.5455705695138605,16
85,0.019153627862138832,0.4415460197352912,521
86,0.5648024167111062,0.687332496838007,155
87,0.9432135747548979,0.5775456474425428,2
88,0.9872560912300689,0.6099864787782785,3
89,0.05134791381382751,0.42845179386872545,2130
90,0.7078500325814734,0.4186063430436263,78
91,0.2960055501985182,0.2613617580213461,4
92,0.5156185783976053,0.41143051649326096,571
93,0.030883629971293458,1.46140201553482,193
94,0.9956371086517852,0.5950773601830096,17
95,0.011684660221679483,0.5283526391609396,1301
96,0.19867043737130394,0.8593714721274477,678
97,0.9435534184092654,0.6307821784048073,16
98,0.3494510894614676,0.2605236096039943,417
99,0.9013879437955238,0.6040580490896035,9
100,0.1066336859855385,0.6812408064220331,3203
101,0.4546435980038113,0.40670294807377555,202
102,0.9706164720305339,0.5624423625206852,70
103,0.8343372185433278,0.552152410708815,287
104,0.8232699109429366,0.46628821883402277,141
105,0.9540640065649221,0.5831889644279517,10
106,0.957268295951652,0.5855770125266451,152
107,0.8561963826054863,0.4657701251625618,5
108,0.0288058720278483,0.4828789390705559,953
109,0.458305577606549,0.5896225903141701,69
110,0.6745678609823652,0.6970333921500391,7
111,0.9558824478137308,0.5381144867060383,4
112,0.9881427760367285,0.5963555919441853,303
113,0.007449086051423176,1.0177626573790128,1672
114,0.3220980432961557,0.43547787206543365,276
115,0.8601738632712201,0.5068895488944438,60
116,0.6448897021701185,0.9286697148589388,1
117,0.9973545562882998,0.597244783711423,8
118,0.9362206414352656,0.5483815553896405,4
119,0.8952136578075222,0.6175961665288824,1
120,0.3288331707911057,0.6298366334521627,116
121,0.3831799779896835,0.5717666101483491,1
122,0.027971608889643413,0.44445253957466707,1651
123,0.5437869704958571,0.45150689396159166,403
124,0.007469906115162067,0.1754558277986106,3250
125,0.009285832792615528,0.5967456889051131,84
126,0.8717789283463234,0.6562853873278796,273
127,0.02156992767894599,0.3995780439759534,514
128,0.3200189232628279,0.8339372305092168,144
129,0.03379597526201488,0.3163752226762331,1441
130,0.06221400578411722,0.9729370895298275,713
131,0.026820167958926704,0.251952766746824,587
132,0.8783453896725182,0.5585004918385937,282
133,6.718891331995094e-06,0.1700467551226404,914
134,0.9734752049925836,0.5950025408586241,5
135,0.7091851305229951,0.35851330279026894,180
136,0.9954461820522715,0.5960691512263031,11
137,0.020019930444347665,0.30426253982694923,697
138,0.0024813337989846996,0.4652483133202775,2346
139,0.905612548686087,0.6696342177174727,64
140,0.04971741715005002,0.30226519251466244,381
141,0.5260532688255144,0.2951102127696474,13
142,0.9594717310213937,0.594759602303608,241
143,0.762218447411003,0.34230501398537494,189
144,0.13907008877484492,1.238964520717378,335
145,0.7351328160832017,0.577875128606821,645
146,0.0011825646159732803,0.18609985199905774,1708
147,0.9776859633899467,0.5994504049929578,138
148,0.48272167091393187,0.2874501764427569,174
149,0.7725012113481945,0.6383640445640605,142
150,0.9443084543082406,0.6738013696010534,31
151,0.016680059690585225,0.6180154004944487,755
152,0.6083016149492708,0.30607365645927287,147
153,0.002630422369612873,0.2890671130630754,691
154,0.8086026107005772,0.45334505350141235,115
155,0.6681743456742751,0.36311708759256045,93
156,0.3664207504354522,0.5896172185966793,352
157,0.7517573751263514,0.4919954177905256,12
158,0.009839346413547721,0.24409321166609058,140
159,0.837519908885749,0.5751256335563398,11
160,0.9528417393756133,0.6460384854600111,3
161,0.9763973264121728,0.5812983988262808,8
162,0.8545975482879024,0.5254140022788398,617
163,0.10441954821583523,0.18855434107712302,553
164,0.9955715157575574,0.6163694086654506,5
165,0.9820229737316476,0.5930252397073451,16
166,0.0036044453744852544,0.12489529315700196,1426
167,0.005815949233002476,0.7477436284420191,30
168,0.9546130203906985,0.5482473205780413,3
169,0.435691800142926,0.3819977053933188,3
170,0.04772312915917083,0.22973831986486734,1332
171,0.005111094762494274,0.1939050327902054,779
172,0.006571121871696425,0.23288678439450208,1585
173,0.05005198027111596,0.770876162596367,917
174,0.8744803569152864,0.5159664267872437,5
175,0.08450428617105227,0.34794561112676353,534
176,0.9710783700211423,0.5920803551765537,64
177,0.9655513643459742,0.5793792918277249,24
178,0.9955581461125307,0.5928060716211928,2
179,0.9521925496848317,0.5730518761991074,770
180,0.9165073939916085,0.5311283071781164,8
181,0.969509447980371,0.5949063088280597,3
182,0.467363498560467,0.603793191774524,196
183,0.838675502049623,0.5808700635785794,262
184,0.9110693627693414,0.5642573013537394,2
185,0.959022900105981,0.536383167080581,5
186,0.9460432064607133,0.598976845532675,294
187,0.000818569146026199,0.38977286462765603,209
188,0.9305709675374423,0.6096495652955908,254
189,0.9867426341076778,0.5997498038297435,24
190,0.9597836643785642,0.6424447229276582,3
191,0.048123845661863264,0.6401159124574272,556
192,0.7962754782531246,0.4034918476780937,265
193,0.9416153996834987,0.6542779415474863,25
194,0.5774886834722174,0.3320073598985328,3598
195,0.6647337101879293,0.3629691707233793,94
196,0.9137648937799694,0.6400136740823494,597
197,0.022771225085121468,0.5189336249016716,744
198,0.43209491035640146,0.7239396850258922,495
199,0.0038061387953923125,0.3305287552892484,1925
200,0.9822254746001885,0.6060831288220829,3
201,0.8866690450375855,0.5856469380881826,427
202,0.9083473268083196,0.5239165175657216,9
203,0.01373317692656791,0.4170669751010086,701
204,0.9695148644959993,0.5879267763344469,4
205,0.011774953897647183,0.390634735795747,2288
206,0.2452382605448441,0.46338068288766676,336
207,0.2934689313770752,0.5808919838983453,8
208,0.0007025074054207146,1.1515716653141457,824
209,0.5212472919752563,0.49332799693411755,5
210,0.6849842218438557,0.637391908289345,367
211,0.9951565847808853,0.5746966955608294,3
212,0.7959361239800105,0.5819755825000247,390
213,0.013600923143934322,1.1616174919926254,400
214,0.9804073840251664,0.5941493931212803,608
215,0.24137086788195108,0.8752902628533616,190
216,0.8984703647077853,0.5946637808177617,3
217,0.028237611039882444,0.6284593798682807,1256
218,0.8583993583294299,0.5698312813896799,194
219,0.9666694734637554,0.532608325179902,1
220,0.01264605242012038,0.2590812353075439,1275
221,0.8945863581254458,0.41544714901501295,287
222,0.965045463766768,0.6293362918668259,481
223,0.9173272340341163,0.5144718845618033,5
224,0.08435318857511814,0.23549793840069766,16
225,-0.0012457476147055655,0.3631501994644157,1077
226,0.0007639823916769148,0.7719433428249363,1756
227,0.9048270164278087,0.5644485424521662,149
228,0.5252145309279806,0.4811672417444596,204
229,0.36080546253855744,0.7068612498961353,447
230,0.46037844933100497,0.8018157636210915,80
231,0.7547594730133728,0.4869669312800614,115
232,0.7466860729236583,0.7104200256221472,334
233,0.939533181731461,0.5844140275466436,0
234,0.005675601153996362,0.13392141028701834,1264
235,0.4194715722618818,0.39814083134920275,300
236,0.7859631098429253,0.6512137951324936,405
237,0.0033537748587810392,0.7972839550913698,2132
238,0.0036650289046520177,1.0719210538356683,832
239,0.6826600725669714,0.6600931030334225,21
240,0.9622996211304251,0.6009453509257244,12
241,0.6880852888294445,0.47786315569839155,8
242,0.7974880759264885,0.5913365243541839,179
243,0.0052699593199914685,0.45782037463444414,2394
244,0.9765189402916402,0.6177154127175702,3
245,0.9364067794193129,0.5813046898912917,12
246,0.48646530712192043,0.4650318464304528,119
247,0.2759917326798601,0.35348331695928503,927
248,0.0240060176768317,0.4370932002463087,2304
249,0.9786851189579664,0.591030974490289,695
250,0.9716906932542759,0.5966556518190729,1
251,0.9140251874015132,0.5569187069405229,127
252,0.990664369343982,0.6006007529703214,664
253,0.9770033535439882,0.6331068282211709,9
254,0.9952680315069714,0.6007121951699604,31
255,0.8680947503386984,0.7187352574304796,2
256,0.6291070131185631,0.8541956559992371,204
257,0.929727991652764,0.5774773226017675,7
258,0.7067566106685393,0.7191908902903973,4
259,0.018661412220576015,0.24705280496512386,1533
260,0.5785790719630269,0.9929103151091045,165
261,0.035765354903274524,0.7221965996055089,264
262,0.5428109581890379,0.3133960534543626,62
263,0.8741105807571442,0.5640563043580964,34
264,0.004184229390214702,0.3101365732489899,596
265,0.826020182119367,0.508056188951328,111
266,0.9818046552926134,0.5763855678836246,2
267,0.9647088754366995,0.5991965908951892,6
268,4.7700418838279984e-05,4.534996131578056,1165
269,0.9847417129538559,0.5972387838304167,18
270,0.518431482504095,0.6644240207258395,103
271,0.003232618120179213,0.5056330791840378,2397
272,0.009498822946600274,0.3032738222948305,1224
273,0.9451122970107038,0.5759208432408037,3
274,0.9817170367163495,0.6080165760476283,9
275,0.8318057656454858,0.6187528693901034,4
276,0.5083319594020638,0.5852127176773737,106
277,0.31234376265107067,0.24215359655965277,702
278,0.002323396805285892,1.1284198453493024,2062
279,0.9898943693622487,0.6009380194909392,4
280,0.9057464133263468,0.5512181245619574,3
281,0.4123524783453128,0.23152412709571246,214
282,0.7050806576180999,0.21802310392630123,4
283,0.019312298036154564,1.4023307178610747,820
284,0.5892973250067768,0.7017233625858789,1
285,0.13406463654868844,0.2835789839576022,21
286,0.6452210662595739,0.4827474614909676,289
287,0.9197439803687395,0.5450184172100064,253
288,0.948558839551974,0.56294300890992,3
289,0.03231520086074694,0.8645384293418514,502
290,0.9575677279338435,0.564150634017698,250
291,0.02060716057962607,0.4340436189370476,1648
292,0.8234650005451148,0.3788393240945505,130
293,0.8919804787824052,0.5758900988787163,34
294,0.8606222101433679,0.4857942243156392,6
295,0.0017903645691927615,1.4977890218975687,1272
296,0.0018625836318841593,1.200814909127397,1529
297,0.9317514230627186,0.5762666495581745,3
298,0.007140272297720129,0.39617225411832796,671
299,0.9613957578272854,0.5669715926150669,594
300,0.9855349723542891,0.6213677549713761,6
301,-0.006331732360751838,0.44395171420678553,710
302,0.7538262289236832,0.673687002154004,1631
303,0.0056867533846342395,0.6403921202777967,3346
304,0.6811425740041827,0.37106446063849186,281
305,0.8890264950832132,0.654700816843216,2
306,0.9931248720769192,0.6039422948838815,492
307,0.0004301873874982246,2.0264226613002956,1558
308,0.8665207351645413,0.5587969029604153,104
309,0.9846483773175208,0.5930130670378837,2
310,0.9887019578191477,0.6215482597964618,6
311,0.0007954755105383963,0.3436678925272843,1299
312,0.6443509826894338,0.7269611259215406,432
313,0.15147285635421054,0.3957410229494426,170
314,0.33785851679180834,0.20082965796787883,12
315,0.6092613888274288,0.41332545080255917,111
316,-0.03691017547766284,0.580377179603871,516
317,0.9861546954098155,0.59947351527779,3
318,0.9886619800898674,0.6153172604523132,206
319,0.022532217909865142,0.23149404659258707,1233
320,0.7749222189156775,1.127877262728702,291
321,0.9326578720326528,0.5535857123156923,12
322,0.6445283764171195,0.47184768532987614,79
323,0.881498386482025,0.5767790969852152,1
324,0.9707294710513873,0.6063396878036461,87
325,0.9731823014121433,0.6217616196486627,404
326,-9.859650443120936e-05,1.357203739050638,514
327,0.06796149086215528,0.3366808668293114,1758
328,0.9420587552560803,0.677260290647843,3
329,0.02260330019243255,0.9233326727291435,1591
330,0.2973201559910993,0.8231955873875453,41
331,0.8303254585232754,0.6029613443700282,7
332,0.8714102508794792,0.5288333695710156,267
