,cross_correlation,max_amplitude_difference,p_wave_onset_difference
0,0.8453833361031812,0.550460560528112,137
1,0.9962099498105345,0.6026841014158074,127
2,0.9985813295750737,0.5980387770502703,636
3,0.9855629269606259,0.5675004979465288,3
4,0.9638103540139533,0.562375659419049,9
5,0.9996527558389198,0.5894964418503504,12
6,0.9771093313208593,0.6045413193106384,182
7,0.8370350244069543,0.6233487389680954,651
8,0.9937167052938656,0.6250842824495927,2
9,0.9782446622220523,0.6056233542095011,126
10,0.9992494707436542,0.5860078766097909,146
11,0.889119310994932,0.558174862163761,497
12,0.9992008924020567,0.5895223267125006,2
13,0.9974933060653614,0.6003059252937863,7
14,0.9913749434100735,0.6064363394047593,4
15,0.9665361275395493,0.5845486506109934,615
16,0.858379806128589,0.5311683694771303,155
17,0.999310778468671,0.590637996699922,4
18,0.9980894245069166,0.6016029976916819,1
19,0.7444550960628007,0.8862999156752475,116
20,0.9835143080313834,0.5977451662834453,124
21,0.9376314580121397,0.6131241673306304,1
22,0.9736767729999741,0.5872428907059466,4
23,0.8952626802383866,0.5269081412691289,4
24,0.9888153058673094,0.5903908264423758,3
25,0.9207561812245808,0.5511348445451824,2
26,0.8439101343678743,0.572821196246173,4
27,0.9892245932981252,0.6240631062847687,1
28,0.8372594350676105,0.6761440869835761,3
29,0.9989069178100841,0.5829818400385416,330
30,0.9985837161158532,0.5914316282025966,2
31,0.990187378725352,0.5743830428824139,7
32,0.8426019235593611,0.5922645757714197,27
33,0.9333774895998844,0.6075219724902573,14
34,0.8514150760720279,0.517235966069757,466
35,0.8938056660080699,0.692806435741379,476
36,0.8382106424664099,0.5254209358499732,70
37,0.9976263336680202,0.5989166402151178,173
38,0.983470376918084,0.6018497329740689,6
39,0.9089033851806678,0.5991585830989022,19
40,0.8949041597115858,0.599192036581492,507
41,0.9764650866934735,0.5532613380508296,4
42,0.984275155110917,0.6316319212327591,1
43,0.9887373409721458,0.5921978283576139,11
44,0.8992095731932276,0.5492438188212003,572
45,0.9986192304533416,0.5932065793685211,2
46,0.8178723525405888,0.6944140081344924,14
47,0.8858025940078179,0.5802822424319714,152
48,0.9952079368745627,0.5856606039465024,8
49,0.9788953677437178,0.5980597960855277,30
50,0.9819028228751365,0.5931125821837094,112
51,0.993633089525935,0.6128662499250667,2
52,0.9415574385828548,0.6248642338732404,28
53,0.920561688906798,0.5273472002031431,7
54,0.9109501783032357,0.5688366329280987,3
55,0.2917067766952913,0.20498881503671176,477
56,0.9964575214824671,0.6018385141890795,3
57,0.9079125391265498,0.6144753063336708,4
58,0.9212055680114153,0.6281549756981348,119
59,0.9431090010678633,0.5904459322525444,28
60,0.9284822346157564,0.648855154815395,170
61,0.9946904997156016,0.6061918316041158,6
62,0.8630403474080932,0.6240164577131204,8
63,0.7859725530024722,0.7268969960891403,12
64,0.2697185519949106,0.11748521945873641,959
65,0.9943369873623649,0.597500660092551,9
