,cross_correlation,max_amplitude_difference,p_wave_onset_difference
0,0.8768075664765249,0.5583020732861582,108
1,0.9973362176200732,0.6020256548542438,127
2,0.998954050563721,0.5919700791745043,636
3,0.9894038325703592,0.5793802116823923,3
4,0.9730683997706309,0.5690407752209716,9
5,0.9996892300481673,0.5893740131367762,12
6,0.9835795488648543,0.6023734446289749,182
7,0.8713243211359881,0.6161331220478454,651
8,0.9956323960249237,0.6226702212219954,2
9,0.9851934522501892,0.6059493260957592,83
10,0.9993318128451881,0.5861109630260128,146
11,0.9132644648673756,0.5621432025671068,497
12,0.9993909870689869,0.5893830039144491,2
13,0.9980607597136191,0.5983491756538649,7
14,0.9938170177907801,0.6095167007469936,4
15,0.9750313980919633,0.5789468342837462,615
16,0.8993389852478447,0.5382665302631806,2
17,0.9994638619263585,0.589965981937494,4
18,0.9982429245880053,0.5954765390508774,1
19,0.8060559140403204,0.7701570314426368,114
20,0.9886896510255598,0.6007678812518148,124
21,0.9560903137795913,0.6078549589870137,2
22,0.981623521361111,0.5948217536341637,4
23,0.9236762356648855,0.5270388938791016,11
24,0.9914923013508383,0.5867675707187777,3
25,0.9423104164213147,0.5583463400675646,2
26,0.891693941832989,0.5759458297170865,4
27,0.9924108789472591,0.6176028018392952,1
28,0.873294630790679,0.6544363971473629,3
29,0.9991856156138025,0.5814694936430329,326
30,0.9989023223513399,0.590544070680184,2
31,0.9928356622537529,0.5783269961399705,6
32,0.8626401697628893,0.5812342560361341,16
33,0.9496119116656482,0.594293930482872,14
34,0.8806904110567015,0.5109160245678406,463
35,0.9189331288069404,0.6775669160057546,476
36,0.8796759003507867,0.537405323883782,70
37,0.9980527507355861,0.5985954126417794,173
38,0.9885897614132791,0.6045482768844962,6
39,0.9248573979733677,0.6035280954369052,17
40,0.9279165305668498,0.6011189837358425,507
41,0.984406414657185,0.56267987772644,4
42,0.9887494171746064,0.6222038641528842,1
43,0.9918262711935794,0.5907431576962109,10
44,0.926289581436581,0.5708097612105782,572
45,0.9990787018172034,0.586373541324851,2
46,0.8709176082457543,0.6579987845036385,11
47,0.9126731950251309,0.5775366619314106,12
48,0.996144813814077,0.5878356860389118,9
49,0.9850277594765132,0.5981668936304455,30
50,0.9868729813112062,0.5983071157243242,112
51,0.995517089398447,0.6083182592719881,2
52,0.958329367763336,0.6137593801234182,23
53,0.9351404942407908,0.5465668271842129,32
54,0.9343999097173022,0.58122436160205,3
55,0.836187795369623,0.48203556135655135,139
56,0.9974104727372021,0.598975352145933,3
57,0.9324508772374904,0.6085663857933663,4
58,0.9360206075564479,0.6273811218912606,25
59,0.9649480426222723,0.5903496584853998,22
60,0.9480880615881258,0.6327724060533044,170
61,0.9964117257714571,0.6069619447303203,6
62,0.8918614119979534,0.6279076534186627,8
63,0.8302154943153057,0.7052867451610498,12
64,0.8766251298536252,0.47702534981442213,640
65,0.995919864040323,0.5973770744320245,9
66,0.9274896766458486,0.6017000453366591,3
67,0.9986711582433672,0.6028930130498362,560
68,0.9995084476808659,0.5968645627853368,2
