,cross_correlation,max_amplitude_difference,p_wave_onset_difference
0,0.8151894886988011,0.5373177643663231,139
1,0.9943285876378054,0.6025471097115764,127
2,0.9981344451404172,0.601257434353951,636
3,0.9816288639202817,0.5558994930134793,3
4,0.9529777860624076,0.5558246956461416,23
5,0.9995893877384102,0.5905902138587529,12
6,0.9698046944063397,0.6044479503126597,182
7,0.8084923128411249,0.6290835362627809,651
8,0.991644567051512,0.6271822813562712,2
9,0.9709320640527086,0.6049391105543728,134
10,0.9990736708519564,0.5876935905830718,146
11,0.860787750528581,0.5512329356716628,497
12,0.9989818654724171,0.5892110966662796,2
13,0.996863334534311,0.6013308609835863,7
14,0.9889339163664,0.6057471202411568,4
15,0.9586936776832364,0.5875087140402384,615
16,0.8143568797954852,0.5184686102491908,156
17,0.9991283865319429,0.5909675858184097,4
18,0.9979230485019335,0.6045330002143171,1
19,0.6918343127758529,0.999264719577565,118
20,0.9770516850866466,0.5953863083592139,124
21,0.9170814246907123,0.6155457703370575,0
22,0.9646405001008291,0.5756016267627638,4
23,0.866419119638184,0.5254650662703689,4
24,0.9859128755892033,0.5918933822998141,3
25,0.8991876637541207,0.5419668448649458,2
26,0.7836874490770033,0.567444767537697,31
27,0.9855098267259833,0.62950210975738,1
28,0.8062479068428758,0.6981028849247072,3
29,0.9985592568917908,0.583867210728973,330
30,0.9982148521822046,0.5921734434528185,2
31,0.9869108716692219,0.5676638978104172,12
32,0.8432169910816312,0.5919918588750523,29
33,0.9168327815253396,0.6219695756518137,14
34,0.8204902737151204,0.5225931806373835,467
35,0.8689519402450627,0.7060245908842518,476
36,0.7934396580357747,0.5266288793232407,70
37,0.9972063877673721,0.6003875394521541,173
38,0.977996832383041,0.600314158374959,7
39,0.889794679779752,0.5944403042607026,20
40,0.8749804685697794,0.5975009134135383,507
41,0.9665699350613577,0.5432200306631787,4
42,0.9795052848563687,0.6395327013926104,1
43,0.9856310458334151,0.5923896993882708,11
44,0.8723998313517645,0.5161963531737565,572
45,0.997665738755842,0.6003417555336377,2
46,0.7607959096104242,0.7278866991639393,146
47,0.867195086454519,0.580945194834458,158
48,0.9938883612851167,0.5828711092272377,8
49,0.9721586970870126,0.5972702261204029,29
50,0.9766177792684166,0.5865019592448356,112
51,0.9915045349510462,0.6164340213527578,2
52,0.9223690194404807,0.6330784580296923,31
53,0.9065898856718118,0.5258025464434268,63
54,0.8838334935421186,0.5618066330664843,3
55,0.16799064172265826,0.1970849342074392,508
56,0.9953178850343116,0.6035210003111031,3
57,0.8833380552823872,0.6168622220038776,4
58,0.9131052725889899,0.6233491132173608,25
59,0.9023226220821187,0.5872036447080831,136
60,0.9081387686500328,0.6621184216264807,170
61,0.9926479945475882,0.6044271476535752,6
62,0.8342454759658714,0.6177539268039448,8
63,0.7433136692103459,0.7447021101708519,13
64,0.18158102714442842,0.12689028078311843,1991
65,0.9926552362109251,0.5963456673137045,10
66,0.8735380961874917,0.5921038218935919,1
67,0.9982091326057376,0.592668271192184,560
68,0.9989867345174963,0.5997502904662463,2
69,0.8048747762115099,0.6470831048217286,36
70,0.8180618320653896,0.5776033422023331,55
71,0.9871931050188898,0.5678507911282515,587
72,0.9584810448599094,0.610250247380738,4
73,0.738253777409949,0.6882388389095357,94
74,0.9388725519631191,0.5408937172256407,225
75,0.9702857012875117,0.615907206516677,1
76,0.9613333387877215,0.5532618025599226,3
77,0.9828246048238256,0.5778804544594883,40
78,0.1315804941671666,0.27588266768886066,2279
79,0.9978536808295424,0.590203886104007,3
80,0.828587567323978,0.5837349781650354,98
81,0.9005714850250117,0.6407738062369661,19
82,0.8678712293734765,0.5916006893996872,11
83,0.7580259526946223,0.6272035941078529,8
84,0.989771053686196,0.5943439385894902,10
85,0.7348631337730027,0.418459263152139,1134
86,0.9149551439489532,0.690688129111842,4
87,0.9810536547674265,0.5890288120506822,2
88,0.9983725798771584,0.5989649619976742,3
89,0.790918607341602,0.6461994579559632,389
90,0.9211968820363483,0.5903529291670709,7
91,0.9541996893956718,0.61362090819994,2
92,0.8675239010942051,0.5897514267642582,571
93,0.5977418431522297,0.504155321985033,176
94,0.9993521764870994,0.5913820296344003,15
95,0.8609522665072574,0.625035569915811,16
96,0.8954943268194376,0.5732511826985176,678
97,0.9896378197184195,0.6178192625762398,9
98,0.915314087058361,0.5951821348910253,241
99,0.9816393540272412,0.5974346298627432,9
100,0.7856221577815823,0.5220226935815274,672
101,0.9042287547368767,0.5802286094745518,3
102,0.9925987326967607,0.580223574506148,25
