cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.17572932,0.5464878,16.0
0.22042124,0.16624968,251.33334
0.07376729,0.20521562,636.0
0.18428287,0.49339134,203.0
0.12527716,0.29479775,202.66667
0.24865155,0.17939302,169.66667
0.16706535,0.3141324,194.0
0.35204098,0.38151723,1646.6667
0.22919348,0.35115358,253.33334
0.21988593,0.31828865,203.33334
0.07680863,0.16302514,481.33334
0.089323305,0.073351584,588.0
0.12855145,0.23970513,120.0
0.41605735,0.2999835,221.33334
0.27081582,0.3581892,223.0
0.12581035,0.16734219,615.0
0.12628734,0.24991362,44.333336
0.1964041,0.38489676,181.66667
0.13334772,0.2618217,419.0
0.08433612,0.41736993,534.6667
0.043652177,0.14713459,385.0
0.13568604,0.052823137,2068.3335
0.13089126,0.20446599,1043.0
0.20873992,0.4380141,128.0
0.12078552,0.15907162,137.0
0.32741833,0.5044222,467.33334
0.15055765,0.08123784,164.0
0.25625357,0.40591702,82.0
0.13888267,0.17169437,390.0
0.14050776,0.17660493,416.6667
0.16215497,0.16436736,157.0
0.38014263,0.54307145,175.66667
0.19215631,0.118315004,248.0
0.18136804,0.12277797,215.33334
0.18563634,0.87418497,453.6667
0.106751285,0.36461315,480.0
0.14594772,0.17859659,202.33334
0.2018674,0.3254704,297.0
0.27135575,0.39555925,114.333336
0.22477725,0.33312902,173.0
0.27952087,0.23707084,507.0
0.17088954,0.2988474,291.0
0.16104424,0.21256599,125.66667
0.19642723,0.40043196,152.0
0.27239013,0.24016057,572.0
0.21884272,0.28033537,26.0
0.0923004,0.33961654,378.6667
0.14407437,0.15726322,238.0
0.2585992,0.9038179,199.33334
0.14113727,0.2635643,369.6667
0.39438176,0.14178707,1261.0
0.15985234,0.2396429,163.66667
0.16514568,0.10699343,158.66667
0.19600454,0.32923698,731.0
0.093648404,0.080093786,392.33334
0.12918356,0.28922015,1506.3334
0.16252844,0.33778366,359.6667
0.13940382,0.15401213,1178.0
0.24602425,0.29323673,194.33334
0.05656264,0.16263995,510.33334
0.13168925,0.15307263,294.33334
0.2612353,0.57086587,138.33334
0.08574879,0.319924,1293.0
0.09956499,0.3502471,376.0
0.11779797,0.5373814,921.6667
0.23950045,0.26420748,136.0
0.38472697,0.28939748,144.66667
0.15119275,0.23577231,560.0
0.16881697,0.16449592,78.333336
0.22894403,0.08990698,2965.3335
0.10466039,0.08819576,352.0
0.1752063,0.2979748,587.0
0.16544063,0.308199,211.0
0.085156314,0.07393214,316.0
0.06752657,0.10739183,519.6667
0.20451093,0.14472096,153.0
0.181626,0.18979858,367.0
0.11934991,0.17652938,365.0
0.15661713,1.0844867,2296.0
0.15712613,0.24969083,202.33334
0.287605,0.20393762,166.0
0.056321494,0.23133,347.0
0.09929671,0.20968728,242.33334
0.35047382,0.19673198,380.0
0.103650376,0.28336194,451.33334
0.052294046,0.6613085,1384.3334
0.20564753,0.2558868,185.66667
0.2107786,0.16466442,90.333336
0.32754016,0.28180653,248.0
0.16845572,0.19446318,3784.0
0.19613263,0.19291562,118.66667
0.21077214,1.1834671,2403.0
0.14282773,0.20034003,571.0
0.16720591,0.51213807,1903.0
0.10789963,0.16086662,200.0
0.1972098,0.3999622,458.33334
0.11645608,0.9081554,678.0
0.31050247,0.40956366,181.33334
0.06149465,0.15518019,563.6667
0.20415199,0.23355627,255.66667
0.104966365,0.2593936,1555.3334
0.13089123,0.14149547,345.33334
0.30598977,0.3923671,130.0
0.18741117,0.21390381,358.6667
0.28758213,0.27220857,190.0
0.099940956,0.28637403,465.0
0.21890861,0.24383768,175.66667
0.17186634,0.29855686,31.0
0.12060644,0.12859797,442.6667
0.19698368,0.13176587,118.0
0.19287716,0.20854765,333.0
0.31483266,0.2592426,86.0
0.03522197,0.13504854,478.33334
0.099960655,0.05546784,2063.6667
0.09843451,0.29561237,306.6667
0.20343821,0.20959131,165.33334
0.16408902,0.20985334,185.0
0.113197945,0.1827471,422.33334
0.26449212,0.28272918,175.0
0.15321943,0.27775055,182.0
0.13979581,0.08679503,139.0
0.09683484,0.1626324,413.6667
0.021169495,0.13614261,753.0
0.09949605,0.15881813,1959.6667
0.17345998,0.091562435,235.66667
0.15151311,0.8369156,679.3334
0.0771597,0.20075393,358.0
0.14739352,0.1601382,510.6667
0.1893035,0.35342646,1763.3334
0.0676053,0.053768903,1346.0
0.09948435,0.090674125,434.6667
0.055538412,0.133771,1100.3334
0.15203975,0.28940883,439.0
0.32584554,0.1971824,3720.3335
0.1385893,0.28262565,441.6667
