cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.14553572,0.4723507,404.6667
0.22396058,0.24727456,251.33334
0.072289355,0.28767726,636.0
0.19247459,0.66371435,203.0
0.117497675,0.3815415,202.66667
0.2611857,0.28180194,169.66667
0.16455874,0.46440455,194.0
0.35672852,0.6101272,1646.3334
0.23928797,0.48197028,253.33334
0.22256295,0.51044315,203.0
0.07921329,0.24472582,479.0
0.07117407,0.22492819,507.33334
0.13032803,0.34086335,117.0
0.41010946,0.42931348,221.33334
0.27446485,0.55845016,223.0
0.13066512,0.26593804,615.0
0.10908198,0.23686306,44.0
0.20358166,0.55151224,181.66667
0.13583028,0.37007758,419.0
0.06061582,0.42052644,535.3334
0.043845054,0.22289309,363.0
0.25263876,0.15851967,17.666668
0.10730358,0.17956421,1042.6667
0.21791375,0.5124014,131.33334
0.12101723,0.22162223,131.66667
0.28131467,0.49346006,467.6667
0.19693649,0.18148074,164.33334
0.26648372,0.56892926,82.0
0.13921353,0.2623038,390.0
0.14448959,0.2578684,416.6667
0.16904804,0.24259886,157.0
0.39050245,0.79259896,175.66667
0.19323121,0.23453903,248.0
0.202535,0.3544113,223.0
0.17218404,0.8665883,453.6667
0.10779542,0.5305553,480.33334
0.1561167,0.30015773,202.33334
0.20987913,0.48019075,297.0
0.26578188,0.5211712,114.333336
0.24416968,0.49960196,173.33334
0.2781324,0.34725422,507.0
0.17940971,0.38533306,291.0
0.1624383,0.31562996,126.0
0.19743466,0.55355835,152.0
0.23093629,0.40140742,572.0
0.2137373,0.43025386,26.0
0.08781496,0.36804956,378.6667
0.2042422,0.27216548,239.0
0.2735393,1.2329121,199.33334
0.13895616,0.3851415,372.6667
0.35551882,0.23234539,112.0
0.16182625,0.3422074,163.66667
0.22158603,0.35866103,129.66667
0.1923896,0.3922928,284.0
0.09547862,0.20793986,333.0
0.11230235,0.2684641,1506.3334
0.16375858,0.4649378,359.33334
0.1185101,0.19706255,28.666668
0.24308816,0.44338655,194.33334
0.05479914,0.24541393,455.0
0.11907905,0.31521976,278.0
0.26922637,0.8015789,138.33334
0.112204924,0.45450076,204.0
0.09721166,0.45998883,376.0
0.09848796,0.5394575,235.66667
0.24362485,0.40268454,136.0
0.3902232,0.41876704,144.66667
0.15521376,0.3249105,560.0
0.17796096,0.250026,25.0
0.3033413,0.23451106,136.33334
0.15002434,0.24539828,191.66667
0.17079513,0.40087935,587.0
0.17112994,0.42915758,211.0
0.093900315,0.15886183,321.0
0.06345893,0.15282223,519.3334
0.20476466,0.21235274,153.0
0.18481451,0.27898702,367.0
0.118272826,0.2414948,365.0
0.15340728,1.0736103,2296.0
0.1543018,0.38767976,202.0
0.30470636,0.3238113,166.0
0.05434516,0.28378966,347.0
0.10792684,0.27669922,239.66667
0.26829696,0.20449607,380.0
0.106646,0.3771442,451.0
0.058568638,0.6268263,1384.3334
0.21797471,0.3777338,185.66667
0.21148907,0.26739284,90.0
0.33316714,0.41506785,248.0
0.16770339,0.19506091,3784.0
0.2078731,0.3468632,108.0
0.2102968,1.1845311,2403.0
