cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.13453887,0.4963603,391.0
0.22625878,0.3509441,251.0
0.06941593,0.41399866,637.3334
0.19503179,0.8837242,203.33334
0.11960914,0.5660046,197.66667
0.2725871,0.4374002,169.33334
0.16190207,0.67701674,194.0
0.35366684,0.78997886,1646.0
0.25192952,0.6683744,253.0
0.21866798,0.7487081,204.0
0.07722545,0.35626954,479.0
0.064528696,0.3634486,521.0
0.12850429,0.4763378,117.0
0.4116451,0.5687873,221.33334
0.26897138,0.8576533,223.0
0.12681346,0.38328525,615.0
0.08772697,0.25994033,28.666668
0.20216334,0.7607088,181.0
0.13704982,0.5083931,421.6667
0.055047363,0.5913414,494.6667
0.039301343,0.32650822,395.6667
0.21886858,0.33584923,17.666668
0.13913727,0.37703413,397.0
0.22199714,0.6495766,129.0
0.12883268,0.34529006,131.33334
0.22842793,0.47215354,413.0
0.22348723,0.33807144,156.0
0.26571918,0.81927955,82.0
0.13321108,0.41767094,390.0
0.14890333,0.40299687,416.33334
0.17693073,0.36784226,157.0
0.39812335,1.0905445,175.33334
0.19267878,0.33993757,250.33334
0.20156871,0.51763177,218.0
0.15321922,0.86276627,453.6667
0.11368694,0.7845696,480.6667
0.15907557,0.44994956,210.33334
0.21411788,0.7143423,297.6667
0.26068544,0.71906495,114.66667
0.25296068,0.7224664,173.33334
0.2742612,0.46084434,507.0
0.17367437,0.50672746,301.6667
0.1623784,0.46381578,126.0
0.19221854,0.7329862,160.0
0.21600401,0.5494274,572.0
0.20467645,0.61259747,26.333334
0.08015828,0.40789384,381.6667
0.2417845,0.41024208,244.33334
0.2907755,1.651864,199.0
0.13648239,0.55144495,372.6667
0.46367392,0.6379232,112.0
0.15994178,0.47645164,164.0
0.22433886,0.7207018,129.66667
0.1981133,0.51594114,281.33334
0.076771796,0.30716404,333.0
0.13379125,0.3812203,349.33334
0.16289103,0.65211433,359.6667
0.15466985,0.5354192,28.0
0.24044947,0.62140477,194.0
0.055570297,0.39119422,455.0
0.11534058,0.5216121,278.0
0.27121183,1.0817188,138.33334
0.12688248,0.6473274,204.0
0.09322606,0.6269574,378.6667
0.101723336,0.7673211,236.0
0.24720204,0.587034,136.33334
0.3953507,0.6087731,144.66667
0.15526697,0.4683799,560.0
0.18627563,0.35914242,25.0
0.35275197,0.5325558,136.33334
0.12804857,0.3829785,183.0
0.16990072,0.51225835,587.0
0.17675447,0.6063372,210.66667
0.08798461,0.36074466,357.6667
0.065839216,0.2114775,562.0
0.20586929,0.3060711,153.0
0.19445646,0.41702935,361.33334
0.11572228,0.3443093,365.0
0.127509,1.036139,421.0
0.153124,0.5854123,202.33334
0.31835616,0.47311682,166.0
0.057351314,0.39955264,344.33334
0.112684846,0.37094337,239.33334
0.33632988,0.46624407,229.0
0.1114998,0.49095345,450.6667
0.055818405,0.5298661,1384.0
0.22995946,0.53227854,185.33334
0.21034095,0.4376598,90.0
0.33904415,0.6243455,248.0
0.13473937,0.4294617,554.0
0.21421275,0.56515527,108.0
0.20744655,1.1892354,2403.0
0.14249913,0.39928663,571.0
0.11798998,0.58030444,214.66667
0.10604646,0.37631387,199.66667
0.21317689,0.8318333,451.0
0.11487412,0.7425542,678.0
0.31594142,0.73190665,181.66667
0.06434141,0.36233187,565.6667
0.1841728,0.42155433,255.33334
0.12276994,0.43407702,1552.6667
0.1542491,0.5119132,25.0
0.30562958,0.7079212,130.0
0.17226782,0.46983814,367.0
0.31657588,0.66099966,190.0
0.10411668,0.5171728,464.33334
0.23219943,0.74053305,175.66667
0.15337947,0.6260606,23.666668
0.16181135,0.49476406,381.33334
0.23240557,0.6704089,117.333336
0.18810067,0.40114564,333.0
0.29923362,0.52845347,83.66667
0.03751424,0.30608535,529.0
0.13650532,0.4205492,455.6667
0.099367164,0.48923278,307.0
0.21185157,0.43893284,165.0
0.1639317,0.396887,184.0
0.11035409,0.35031483,423.0
0.2636798,0.64562345,175.0
0.14872594,0.6031206,182.0
0.28308445,0.43328828,139.33334
0.14456122,0.48314387,413.6667
0.024257429,0.22121936,277.6667
0.09624416,0.41462475,407.33334
0.18676952,0.31889662,235.66667
0.10342796,0.8110332,677.6667
0.06622909,0.3694055,360.33334
0.11298698,0.33902186,377.0
0.116191104,0.652351,233.66667
0.0715315,0.08812472,711.0
0.11981979,0.4554649,380.33334
0.054198623,0.25028354,391.33334
0.15528429,0.54486716,439.0
0.33748746,0.44957197,462.0
0.15430741,0.64235324,441.6667
0.31208318,0.44372964,198.33334
0.13905832,0.38260525,405.0
0.19300339,0.2906821,1870.3334
0.14635974,0.3928288,549.0
0.10968002,0.3825478,414.0
0.053933304,0.37600493,517.6667
0.107242644,0.3353855,84.333336
0.14922497,0.59304607,245.0
0.26994082,0.4978841,228.0
0.117359154,0.53869176,443.33334
0.13040343,0.52385825,645.0
0.20346132,0.63035446,26.666668
0.2740267,0.385097,155.0
0.13034901,0.46036085,342.0
0.19980198,0.5264566,287.0
0.21150419,0.48898047,418.0
0.19212294,0.33886707,225.66667
0.299311,0.61400896,171.0
0.375921,0.75802433,91.0
0.12625398,0.42940697,146.66667
0.13259226,0.38734907,253.0
0.31968057,0.606949,378.33334
0.2868379,0.32056773,16.666668
0.18237787,0.4000537,58.666668
0.11681246,0.62174535,368.0
0.20318137,0.41401717,139.66667
0.22888327,0.4195472,244.0
0.26128048,0.4824038,617.0
0.213415,0.64803135,258.0
0.2958087,0.37033126,374.0
0.059738517,0.5226234,452.0
0.23003481,0.84730947,194.33334
0.3461201,0.6078283,118.66667
0.32850778,0.5430355,137.66667
0.25382257,0.65154237,48.333336
0.26045105,0.6137098,211.66667
0.26390475,0.7330648,92.66667
0.42893565,0.55693096,120.66667
0.18980859,0.38446575,32.333336
0.08198323,0.5430682,467.6667
0.062179964,0.29735792,539.0
0.17637092,0.61974174,326.6667
0.07763761,0.33573198,359.6667
0.062858574,0.27083743,211.66667
0.09387003,0.3942333,558.0
0.21075305,0.6619128,216.66667
0.1850565,0.396172,21.0
