cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.12033875,0.6606151,374.33334
0.21902148,0.5764571,251.0
0.07625435,0.5686175,636.0
0.23659939,1.0959387,198.33334
0.140943,0.8374859,197.0
0.24633065,0.6427969,169.33334
0.16602264,0.74514264,197.66667
0.39574763,0.99370664,651.0
0.19702455,0.5736958,427.0
0.25621855,0.8502425,200.33334
0.086474985,0.5455801,497.33334
0.049778767,0.3867491,507.0
0.12877783,0.5077551,130.33334
0.4511258,0.6640618,218.33334
0.21779123,0.8202068,221.0
0.12121132,0.5252993,615.0
0.04835605,0.58353066,143.33334
0.22122192,0.8320767,178.33334
0.14623259,0.75189686,283.0
0.051671457,0.5189378,392.6667
0.050661188,0.6272876,467.33334
0.20545802,0.6077921,21.0
0.10276508,0.6233082,355.33334
0.23024124,0.74566984,131.66667
0.14337307,0.37115067,124.0
0.27812576,0.790547,295.33334
0.24292478,0.53485984,164.66667
0.24573803,0.81000936,79.0
0.14030477,0.47931397,263.6667
0.15331505,0.6828317,418.6667
0.18310682,0.53885835,160.0
0.47220868,1.0364099,177.66667
0.18164152,0.63213646,266.0
0.21853659,0.67681664,218.33334
0.177492,0.7376243,371.33334
0.14697964,0.8919507,483.0
0.14907564,0.55834734,210.66667
0.17235696,0.6002175,297.33334
0.25074863,0.9396367,111.66667
0.258908,0.68195194,170.66667
0.24385987,0.53832924,507.0
0.18370858,0.7042153,292.6667
0.1492955,0.69222534,130.66667
0.20638499,0.6575315,155.33334
0.20738897,0.71646184,572.0
0.1985589,0.8274858,29.666668
0.08354479,0.5433736,378.33334
0.26297477,0.7224938,244.0
0.27989346,1.2916796,200.66667
0.12825516,0.6082166,380.33334
0.46616936,0.64508617,112.333336
0.14772741,0.6200775,168.33334
0.20960908,0.7836975,127.0
0.17796314,0.64791137,276.0
0.07594716,0.5580354,325.6667
0.16811167,0.5842848,344.6667
0.14465867,0.7201811,362.0
0.13416794,0.743932,98.333336
0.22884177,0.8876171,191.33334
0.061130714,0.562586,455.0
0.109807484,0.6975435,276.0
0.2697813,1.0722153,141.0
0.12111245,0.6480703,200.66667
0.09227085,0.7496661,384.6667
0.12925261,0.7646143,236.0
0.24405196,0.64203924,132.66667
0.3872099,0.93554986,140.0
0.1652337,0.5634837,560.0
0.18814826,0.58122516,72.66667
0.39804566,0.6287914,138.66667
0.12764117,0.562443,181.0
0.16567336,0.5935237,587.0
0.17513955,0.55747044,208.0
0.09161429,0.6279705,334.33334
0.08328206,0.50643015,538.0
0.20911422,0.50898314,156.33334
0.19442794,0.536302,363.33334
0.12360337,0.6899164,359.33334
0.13405572,0.73164505,471.0
0.1501494,0.64694476,198.33334
0.29924285,0.4719329,161.33334
0.077327386,0.8787057,359.33334
0.09939377,0.61771554,247.0
0.3449647,0.6212512,233.33334
0.08397649,0.64816695,459.0
0.05450548,0.4036162,364.6667
0.21866708,0.74608266,180.33334
0.16974948,0.6674056,87.0
0.3393765,0.6026586,245.0
0.100197986,0.59930706,460.0
0.20245318,0.6898396,127.0
0.19664153,0.72395843,180.33334
0.17127669,0.54897135,571.0
0.10428788,0.5721382,212.0
0.11111781,0.6242725,202.33334
0.20670533,0.9135659,456.33334
0.10478082,0.54624987,678.0
0.3194728,0.74534845,177.0
0.06769099,0.7572962,443.6667
0.17411748,0.8657557,175.66667
0.14405906,0.6182426,672.0
0.14906874,1.0695224,20.666668
0.2995485,0.76299596,129.33334
0.1540539,0.52314204,379.33334
0.26752377,0.5775086,192.66667
0.09679417,0.57827497,466.6667
0.24792254,0.5649842,173.33334
0.13542165,0.84129715,97.333336
0.10479566,0.6802796,384.0
0.24006973,0.6205069,112.66667
0.19450997,0.5615066,356.6667
0.292263,0.5854751,81.0
0.04246834,0.43151855,579.3334
0.111254826,0.5648136,468.33334
0.0841993,0.6485934,309.33334
0.24644542,0.60851014,165.66667
0.17068575,0.6024,190.33334
0.113670826,0.49142,398.33334
0.261664,0.8064024,177.0
0.15787312,1.0720675,177.0
0.29772457,0.66813576,136.33334
0.10735522,0.4325691,413.6667
0.05748592,0.7786812,282.33334
0.10018715,0.6959674,423.33334
0.19298038,0.50806284,237.66667
0.08618172,0.6215368,363.0
0.06964022,0.5478339,352.33334
0.099219576,0.5603729,350.6667
0.13985956,0.44835278,231.33334
0.09571415,0.61527103,504.0
0.13020317,0.6226896,380.6667
0.074605376,0.42033547,375.33334
0.109481,0.57657516,443.33334
0.3495422,0.61059487,462.0
0.13857794,0.8190665,439.0
0.32201648,0.4978001,201.33334
0.11506972,0.45843452,407.0
0.20127723,0.64802295,697.0
0.10635188,0.5247108,549.0
0.11231123,0.6215648,441.0
0.075697735,0.64778996,446.0
0.13012296,0.53441566,136.33334
0.1637756,0.73439777,242.33334
0.2816832,0.6898138,230.0
0.116762124,0.59755576,27.666668
0.11492695,0.53309166,645.0
0.15333922,1.1139792,24.0
0.2827428,0.5704365,157.33334
0.12130718,0.5903433,339.6667
0.18786037,0.7753803,292.6667
0.19483083,0.7356235,418.33334
0.20098159,0.50983906,214.66667
0.27512437,0.77833486,173.66667
0.3055724,0.68659806,93.66667
0.12177109,0.5941949,149.66667
0.10932337,0.51953197,249.33334
0.26913035,0.61583805,375.33334
0.2740814,0.6124253,88.66667
0.15445554,0.7569396,161.66667
0.1301263,0.6340362,368.33334
0.21196145,0.6489568,125.66667
0.22932975,0.58383286,247.66667
0.23074615,0.7252277,617.0
0.16834389,0.72603655,258.33334
0.29688928,0.5461124,375.6667
0.0631784,0.52074933,449.6667
0.23989415,0.71290195,192.33334
0.3506443,0.7798605,155.33334
0.31209195,0.6358007,138.33334
0.2493414,0.7096622,49.666668
0.35914385,0.7060944,209.66667
0.2642066,1.0335218,92.0
0.4251917,0.7356667,123.0
0.14762977,0.7330591,34.333336
0.067583345,0.8136437,470.33334
0.06900041,0.50453126,559.6667
0.17394608,0.5822195,332.33334
0.081980154,0.48709512,352.33334
0.0701421,0.6727106,196.0
0.096054666,0.65668106,587.3334
0.19238913,0.6278417,211.33334
0.20461753,0.58350253,128.33334
0.10405086,0.7639153,235.66667
0.13481456,0.58255494,354.6667
0.2035595,0.78986615,158.66667
0.087940685,0.56978893,239.0
0.23000912,0.5579629,397.0
0.19383644,0.63583034,153.0
0.19310465,0.83715457,255.66667
0.07698715,0.4457597,378.33334
0.19624963,0.83413994,220.66667
0.14653318,0.4814704,452.0
