cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.74566317,0.6853894,385.6667
0.9821488,0.9385334,259.33334
0.98112726,0.9501362,636.0
0.93724793,0.8039516,203.0
0.9420512,0.86636895,206.0
0.98927915,0.9746417,171.0
0.96540827,0.8578992,198.33334
0.8046774,0.75793993,651.0
0.9755213,0.95083666,251.0
0.9007577,0.8149289,209.66667
0.98550093,0.9609717,500.0
0.823437,0.70746183,527.3334
0.9863199,0.9642676,131.0
0.98738587,0.915478,221.0
0.97152275,0.8928587,223.33334
0.8033783,0.76659334,615.0
0.7877618,0.6522529,192.33334
0.98677444,0.96153295,125.333336
0.98670876,1.0080976,152.33334
0.80371964,0.631065,377.0
0.9428196,0.86387557,450.6667
0.88251686,0.75161695,72.66667
0.8029901,0.8310515,379.33334
0.8141965,0.6659517,132.33334
0.85845846,0.88003826,137.33334
0.8170767,0.63003033,207.33334
0.7995926,0.70621336,170.33334
0.929211,0.8563032,101.0
0.9876399,0.9407525,392.6667
0.95643497,0.9420366,414.6667
0.97738624,0.9524287,157.0
0.9599921,0.85046244,175.66667
0.830218,0.63488066,256.6667
0.7704787,0.6597794,225.0
0.80330527,0.7316171,344.6667
0.8925592,0.7552614,497.33334
0.7451245,0.6942989,211.66667
0.9927769,0.97241986,295.33334
0.9347528,0.8283462,123.66667
0.8596982,0.66869974,188.33334
0.8119833,0.7231146,507.0
0.8683591,0.7921412,302.33334
0.9520116,0.8664662,133.66667
0.94858396,0.9259287,162.33334
0.8209357,0.7571739,572.0
0.9752599,0.8715791,27.333334
0.8489501,1.0430628,384.33334
0.7582211,0.63427585,242.66667
0.98709786,0.9290956,202.0
0.9693526,0.8265774,379.33334
0.8959787,0.8263092,112.0
0.9726023,0.94380754,164.33334
0.834092,0.7571759,129.66667
0.7711212,0.7765999,284.0
0.8431777,0.720003,327.33334
0.7381607,0.70404977,342.33334
0.9881539,0.92979115,396.6667
0.7027148,0.55952334,99.333336
0.8223553,0.8270199,192.66667
0.93480957,0.8193549,459.0
0.84624827,0.7878691,300.6667
0.9873759,0.9015534,155.66667
0.81113255,0.9212536,222.33334
0.8310969,0.9190373,393.6667
0.80074286,0.7324499,239.0
0.97299206,0.9388541,153.66667
0.9102254,0.89084953,140.0
0.988832,0.95312136,560.0
0.9840667,0.91317606,128.0
0.7946029,0.7046553,138.66667
0.75004387,0.63024545,174.33334
0.90773356,0.9180328,591.3334
0.91116446,0.89024496,170.33334
0.71297854,0.6878435,339.0
0.8989861,0.70534885,537.6667
0.97062606,0.8681134,107.0
0.9311699,0.80169886,342.6667
0.8757911,0.76923174,381.0
0.7698349,0.6966882,495.0
0.983631,0.8849179,148.0
0.8461527,0.66956395,170.0
0.741662,0.6928372,355.0
0.8219042,0.6738733,247.0
0.81399107,0.67799735,235.33334
0.953743,0.7778549,459.0
0.7292046,0.6196903,361.6667
0.9766943,0.9058485,183.66667
0.95245266,0.8518901,44.666668
0.98829406,0.9603962,250.66667
0.649851,0.8384093,542.6667
0.8757894,0.8028015,111.333336
0.5005348,0.6178683,183.0
0.8221132,0.83208627,585.0
0.7465705,0.67167115,234.0
0.989311,0.97698355,215.66667
0.8758813,0.83628225,449.33334
0.77785915,0.5185187,678.0
0.97721136,0.96260446,179.33334
0.8348855,0.7687162,477.33334
0.9631714,0.8998698,256.33334
0.74483275,0.46872148,672.0
0.8290746,0.72956824,117.333336
0.9130132,0.92053676,131.66667
0.8770549,0.75027704,389.0
0.9121895,0.7546665,185.66667
0.9862363,0.91691273,470.0
0.8731963,0.9268925,178.0
0.9074761,0.77291965,97.66667
0.77417654,0.7165359,380.0
0.86218995,0.74567366,111.0
0.9534103,0.9219464,390.0
0.9379357,0.8797159,82.333336
0.9303114,0.88428205,560.3334
0.82814145,0.58576953,474.33334
0.7779393,0.8006932,330.33334
0.91435146,0.82784116,164.66667
0.97623384,0.93285435,190.33334
0.97810477,0.9338428,404.0
0.9583181,0.8472974,176.33334
0.93250245,0.9646544,124.66667
0.8358892,0.7912025,136.0
0.8448018,0.8664069,287.6667
0.84206504,0.90115225,292.0
0.82010007,0.8065027,471.33334
0.74493015,0.6105158,237.0
0.6398053,0.5487616,36.333336
0.92559063,0.7136464,342.33334
0.72461957,0.47100314,357.6667
0.5764174,0.6501155,219.66667
0.7975445,0.7280489,484.6667
0.67636347,0.66537416,385.33334
0.79966784,0.67660683,406.6667
0.9526365,0.8710151,444.6667
0.9229311,0.79885024,462.0
0.98539627,0.90332615,302.6667
0.8720784,0.9141073,197.33334
0.96894383,0.9368125,277.6667
0.69610703,0.7874522,722.3334
0.7364127,0.6743545,549.0
0.965011,0.9021195,442.0
0.8074767,0.7322333,524.6667
0.8152369,0.70818967,138.0
0.97995824,0.8869519,267.0
0.9140631,0.7629416,230.0
0.77421105,0.6934518,404.0
0.9120874,0.860743,645.0
0.8060302,0.77172804,25.333334
0.9511828,0.86505747,158.0
0.9196385,0.7564858,382.0
0.94446373,0.82610273,296.0
0.960019,1.0319083,438.33334
0.7863256,0.7886052,211.0
0.89714134,0.8403754,176.66667
0.8136207,0.7033693,81.333336
0.8752192,0.7550243,174.0
0.7801417,0.6582946,238.33334
0.6347787,0.77760565,373.0
0.9362334,0.757404,87.333336
0.6670785,0.6807897,158.0
0.89473933,0.713447,269.33334
0.851038,0.8448011,127.66667
0.98441696,0.9577956,248.66667
0.93842715,0.7404534,631.0
0.80736136,0.8013395,260.0
0.99259603,0.9684338,370.33334
0.97226703,0.9214053,458.6667
0.8827895,0.9105296,193.0
0.8079869,0.5387649,117.66667
0.9738678,0.88879824,138.33334
0.75327766,0.7379918,45.0
0.85654634,0.64722717,209.0
0.897973,0.7992804,94.333336
0.7759835,0.63092726,121.66667
0.6574651,0.6753916,170.66667
0.98677003,0.8613272,489.0
0.8019546,0.8565887,622.3334
0.9779134,0.9342157,332.33334
0.95073974,0.863374,366.0
0.94606775,0.9648697,183.33334
0.9833891,0.88988197,588.6667
0.979428,0.9082796,193.0
0.8709881,0.85799086,21.333334
0.8098936,0.79557586,234.66667
0.9068006,0.8213188,352.6667
0.9153459,0.8912606,157.0
0.96026075,0.8964267,266.33334
0.96946776,0.88372695,396.0
0.79390895,0.73421,162.0
0.9707402,0.941718,274.6667
0.9834299,0.8911892,446.6667
0.9721166,0.88999164,224.33334
0.685081,0.72060204,549.0
0.91816735,0.8588137,334.0
0.9722761,0.9391049,236.0
0.9423485,0.7891528,206.0
0.9356968,0.83277285,119.333336
0.92733705,0.9183608,597.0
0.8112022,0.6822171,103.0
0.8075882,0.59782094,495.0
0.81731117,0.63142246,144.0
0.9707772,0.88587993,372.6667
0.97043395,0.8666196,554.0
0.98062766,0.9006362,333.33334
0.78154945,0.66575885,111.66667
0.9494638,0.90588987,329.6667
0.7783294,0.71317387,402.33334
0.7239487,0.725242,387.0
0.73233557,0.668966,280.33334
0.847013,0.6046671,508.33334
0.8683405,0.71692675,32.333336
0.88864374,0.78707623,415.6667
0.9851033,0.948964,355.0
0.9224112,0.7986655,390.0
0.7028594,0.5763502,200.33334
0.9597792,0.9197607,608.0
0.80083203,0.7459979,224.0
0.9682026,0.83928776,105.66667
0.8566713,0.737586,435.33334
0.84978485,0.7085308,266.33334
0.93217963,0.86316174,85.66667
0.8209368,0.78029364,338.33334
0.8558704,0.7705419,318.0
0.9547303,0.92860985,481.0
0.99026597,0.96411365,115.0
0.77081144,0.61936706,319.6667
0.8150723,0.6890995,399.33334
0.9420854,0.8990068,394.0
0.9727661,0.94046855,233.66667
0.8856313,0.77034044,410.0
0.7603334,0.71070874,447.6667
0.8585374,0.8790754,264.33334
0.9507136,0.81681675,159.33334
0.9185845,0.78428245,396.33334
0.97910357,0.9238951,77.66667
0.8618612,0.8879553,133.0
0.8908174,0.7836413,366.0
0.94491446,0.88170266,428.6667
0.7250112,0.8616823,322.33334
0.8112385,0.7217998,355.33334
0.95437324,0.875821,285.33334
0.95099276,0.8986215,354.0
0.81424445,0.65934134,30.666668
0.91564506,0.7672011,202.33334
0.8236038,0.75657743,457.33334
0.9573921,0.9500773,394.0
0.95404875,0.8705615,421.6667
0.87918675,0.7667762,143.33334
0.83875173,0.68853104,377.6667
0.8401251,0.69522035,225.33334
0.98146504,0.97125924,695.0
0.97719467,0.8614642,57.666668
0.950864,0.81562513,153.66667
0.9851567,0.9400024,664.0
0.9857592,0.95678276,260.33334
0.9705974,0.9503028,257.6667
0.8402605,0.83766764,155.0
0.9371774,0.86891526,266.6667
0.97446287,0.9140854,134.66667
0.9409839,0.9887364,105.66667
0.68736875,0.6777215,275.33334
0.8489463,0.8229882,319.6667
0.8059114,0.8294648,351.0
0.791053,0.71014714,195.0
0.9446734,0.86323637,137.66667
0.79633754,0.71191525,162.33334
0.9018568,0.72248095,136.33334
0.9782815,0.9320237,207.66667
0.9810888,0.91993165,443.33334
0.7085271,0.62025124,330.33334
0.9838688,0.96030736,199.0
0.8046741,0.79159564,250.66667
0.7504923,0.4683212,130.33334
0.8873,0.8700504,151.0
0.98748696,0.9210369,141.0
0.9872498,0.94620323,313.0
0.94259095,0.8438768,227.0
0.86893386,0.7188897,414.0
0.78090876,0.6893599,410.0
0.86940515,0.8273363,162.66667
0.9835233,0.95599055,129.33334
0.9645006,0.86963433,340.6667
0.9264426,0.65703773,171.0
0.84869397,0.6890466,197.33334
0.66310406,0.5990963,431.33334
0.826255,0.7021413,265.33334
0.6991269,0.4108535,215.33334
0.7829689,0.78766793,326.6667
0.95284045,0.83016413,300.33334
0.93078613,0.85527366,383.6667
0.781587,0.9729015,374.6667
0.84276074,0.91193616,290.6667
0.8300695,0.7019168,251.33334
0.9305431,0.9135394,164.33334
0.9908347,0.93303454,56.666668
0.6860378,0.9637575,331.6667
0.72894543,0.80344975,382.0
0.8336932,0.79967326,77.333336
0.9808008,0.9195306,342.6667
0.7931907,0.80403197,184.33334
0.9655602,0.8283428,594.0
0.99423426,0.95705676,407.0
0.7531337,0.5741178,202.0
0.84828794,0.87521267,333.33334
0.73873204,0.92898417,457.6667
0.654199,1.0080578,344.0
0.96546,0.8627455,118.333336
0.97882533,0.96364033,492.0
0.8395119,0.72853607,141.66667
0.9447782,0.8570816,205.0
0.98755926,0.9619076,317.0
0.98817796,0.93897885,287.6667
0.745274,0.5435957,262.0
0.86611974,0.95545,1563.6667
0.76684064,0.5241996,196.33334
0.9044096,0.7329077,313.0
0.85220116,0.6346824,267.6667
0.7906007,0.8081524,232.66667
0.99064463,0.9367317,232.33334
0.98228467,0.9659254,230.66667
0.8043852,0.8047557,436.33334
0.8591672,1.0702938,357.0
0.9635424,0.87087834,305.6667
0.9355938,0.8243549,114.66667
0.9341161,0.9413557,154.66667
0.9829609,0.92659557,288.6667
0.9088335,0.9068581,404.0
0.7588315,0.5933522,230.33334
0.74245346,0.64665496,227.33334
0.9602718,0.9499965,173.66667
0.71430224,0.7483596,404.33334
0.8124112,0.7750119,200.66667
0.95194054,0.85336435,280.33334
0.9428338,0.7783575,398.33334
0.9630294,0.8757217,232.0
0.99038285,0.95944566,313.33334
0.8128128,0.5989435,214.33334
0.89233494,0.83633554,138.0
0.8427322,0.87709224,68.66667
0.9142665,0.7952312,589.0
0.8419795,0.6405356,118.333336
0.77978706,0.7397355,369.0
0.99245995,0.95265675,154.0
0.88555443,0.7950604,276.0
0.91656005,0.7704005,185.66667
0.9678151,0.8888546,1258.3334
0.8801985,0.8147135,35.666668
0.89517874,0.8226898,324.33334
0.856277,0.6383705,158.33334
0.8946086,0.7649611,208.66667
0.9814645,0.94434184,243.33334
0.8114473,0.6049513,196.66667
