cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.7868521,0.71084666,385.6667
0.98598045,0.94336843,259.33334
0.9843128,0.95237964,636.0
0.9509999,0.8189511,203.0
0.956191,0.88168085,206.0
0.9914777,0.9769787,171.0
0.97348213,0.87019867,198.33334
0.8449178,0.78911483,651.0
0.9799398,0.95454305,251.0
0.92444706,0.82704514,209.66667
0.9888288,0.9663605,500.0
0.85809505,0.7328794,527.3334
0.9896349,0.9678256,131.0
0.9896766,0.9243034,221.0
0.97838485,0.9053191,223.33334
0.84747595,0.7949206,615.0
0.8349275,0.6597094,192.33334
0.99011767,0.9654812,125.333336
0.9891564,1.0064797,152.33334
0.84035873,0.65829325,377.33334
0.954304,0.8780427,426.0
0.91196334,0.7757336,72.66667
0.83974713,0.8431666,379.33334
0.85577095,0.67937136,133.33334
0.88712204,0.8922118,137.33334
0.8581437,0.67304313,207.33334
0.8431706,0.7347157,170.33334
0.94651794,0.86586636,101.0
0.99053776,0.9464997,392.6667
0.96725297,0.94790053,414.6667
0.98247397,0.95628786,157.0
0.97100776,0.86635894,175.66667
0.8696046,0.6618246,256.6667
0.81719106,0.6813669,221.0
0.8413893,0.7383647,344.6667
0.9129131,0.7796751,496.0
0.7933183,0.71029776,211.66667
0.994254,0.9749296,295.33334
0.9496466,0.8474423,123.333336
0.8909526,0.6907463,188.0
0.8481669,0.7399809,507.0
0.8909206,0.8139725,302.33334
0.9619589,0.87156034,133.66667
0.96119905,0.93310714,162.33334
0.86294144,0.77986,572.0
0.98207206,0.8858542,27.333334
0.8794858,1.0204614,384.33334
0.8045892,0.6696762,243.66667
0.99025744,0.93570846,202.0
0.97676533,0.84508276,379.33334
0.91935956,0.84595644,112.0
0.9782194,0.9503054,164.33334
0.87231827,0.7752428,129.33334
0.8090441,0.78888625,284.0
0.87698686,0.7332729,327.33334
0.79582715,0.7281388,347.33334
0.99067557,0.9366306,396.6667
0.76545537,0.6292636,99.333336
0.85272735,0.836841,192.66667
0.94881505,0.8376025,459.0
0.88050663,0.8143345,298.33334
0.9903517,0.91130465,155.66667
0.8449526,0.93140376,222.33334
0.8570034,0.9185809,393.6667
0.8423139,0.755216,239.0
0.98040164,0.9452717,154.33334
0.92846954,0.89902496,140.0
0.991199,0.9549123,560.0
0.9876665,0.9215309,128.0
0.84515715,0.73289716,138.66667
0.799332,0.6706831,174.66667
0.92788374,0.9293925,587.0
0.9294585,0.9022176,170.0
0.7661946,0.7075312,339.0
0.9192722,0.7348506,537.6667
0.9773822,0.8836531,107.0
0.94643867,0.8194388,342.6667
0.9034456,0.7922146,381.0
0.8157309,0.71059513,494.6667
0.98757684,0.896914,148.0
0.87846726,0.7031163,170.0
0.7685592,0.72424954,355.0
0.8550228,0.70391434,247.0
0.85696685,0.71150064,235.33334
0.9649951,0.80187625,459.0
0.784325,0.6582633,360.6667
0.9818516,0.9166728,183.66667
0.96262425,0.86490935,44.666668
0.9913337,0.96431375,250.66667
0.7095078,0.8423618,544.0
0.90611523,0.82319427,111.333336
0.5462117,0.6308303,179.33334
0.8525224,0.8493115,585.0
0.78656286,0.7069831,234.0
0.9916703,0.9784925,215.66667
0.9030747,0.837952,449.33334
0.8430469,0.51437664,678.0
0.98207474,0.9659378,179.33334
0.86395204,0.7838291,477.33334
0.9710469,0.9093761,256.33334
0.78496385,0.54026026,672.0
0.8586003,0.75625455,117.333336
0.9318604,0.9281835,131.66667
0.9035179,0.76420486,389.0
0.93107,0.78024375,185.66667
0.98949,0.92508477,470.0
0.897694,0.93306583,178.0
0.9237946,0.79901904,97.66667
0.8079345,0.7434534,381.6667
0.89183366,0.74378,111.0
0.96296215,0.9293529,390.0
0.95099854,0.8918692,82.333336
0.9421762,0.8910469,560.3334
0.8637047,0.6234349,474.33334
0.8170347,0.80723757,329.6667
0.93419856,0.8457266,164.33334
0.98183763,0.9386973,190.33334
0.9831307,0.93991756,404.0
0.96615523,0.8551635,176.33334
0.9474105,0.9681492,124.66667
0.8709106,0.8096513,136.33334
0.8864457,0.8736924,287.6667
0.8827188,0.8797413,292.33334
0.856111,0.829302,442.6667
0.80162144,0.64781326,238.66667
0.7024425,0.56410867,36.333336
0.942922,0.7392982,342.33334
0.78394496,0.517146,357.6667
0.6209789,0.67013973,219.66667
0.83536816,0.73291725,484.6667
0.7276578,0.69882727,385.33334
0.83071774,0.70773697,406.6667
0.96407163,0.88306445,448.6667
0.93968356,0.81532514,462.0
0.98846835,0.91079366,302.6667
0.8972769,0.9220616,197.33334
0.97647464,0.94204247,277.6667
0.7479083,0.8058548,722.3334
0.7870089,0.6916479,549.0
0.97274315,0.91149426,442.0
0.8456334,0.74122417,524.6667
0.8546609,0.7346458,193.66667
0.9844842,0.8960159,267.0
0.9328501,0.7940998,230.0
0.82114017,0.70232266,404.33334
0.93006575,0.869854,645.0
0.8476712,0.80360496,25.333334
0.9609493,0.8774625,158.0
0.9381287,0.785315,382.0
0.9590173,0.84517753,296.0
0.9684551,1.0306052,438.33334
0.8240961,0.81552243,211.0
0.91912735,0.8587312,176.66667
0.85919875,0.7289561,86.66667
0.90271777,0.77218074,174.0
0.82568234,0.6967105,238.33334
0.69189453,0.8078925,373.0
0.95205206,0.7782848,87.333336
0.7248592,0.71645635,158.0
0.91908455,0.734667,280.6667
0.8759117,0.86022866,127.66667
0.98727965,0.9628143,248.66667
0.9524028,0.7650017,633.0
0.842693,0.81548464,259.6667
0.9942145,0.9718436,370.33334
0.9794885,0.929283,458.6667
0.90376556,0.90991545,193.0
0.85722125,0.5675055,117.66667
0.9796962,0.89727867,138.33334
0.8101032,0.7688502,46.666668
0.88674945,0.68560714,208.33334
0.92236114,0.81076205,94.333336
0.83756274,0.680817,121.66667
0.72147316,0.70239156,170.66667
0.98991716,0.87556946,489.0
0.84266996,0.8718161,665.0
0.983134,0.9433205,332.33334
0.96108145,0.87681526,366.0
0.9537724,0.9709344,183.33334
0.98708475,0.89939946,588.6667
0.98406595,0.91690433,193.0
0.89857244,0.8744544,21.333334
0.8487786,0.8028914,234.66667
0.9260399,0.8406269,354.33334
0.935732,0.90176046,157.0
0.97085774,0.9041764,266.33334
0.97585046,0.8956109,396.0
0.8396308,0.7561035,161.0
0.978055,0.9480784,274.6667
0.98659027,0.9012677,446.6667
0.97775143,0.90224206,224.33334
0.75829905,0.7592219,549.3334
0.9360188,0.8683698,334.0
0.9787463,0.94526434,236.0
0.95574564,0.8124692,206.0
0.9501784,0.8482449,119.333336
0.9416515,0.9262805,597.0
0.83317584,0.6998212,103.0
0.85002345,0.61798036,495.0
0.85893625,0.6688355,144.0
0.97806454,0.8952915,372.6667
0.97688043,0.8802291,554.0
0.9852206,0.9155039,333.33334
0.8257522,0.6812188,111.66667
0.9628626,0.9172102,329.6667
0.8248762,0.75467443,404.33334
0.77078617,0.73941433,387.0
0.7846543,0.6777641,280.0
0.8813364,0.63874936,507.33334
0.89688575,0.73640394,32.0
0.911361,0.79904866,415.6667
0.9882662,0.9541739,355.0
0.9410151,0.81948465,390.0
0.7541852,0.6187337,200.33334
0.9695735,0.92837,608.0
0.8400127,0.7514601,223.66667
0.97567147,0.8548237,105.66667
