cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.640034,0.5998713,384.6667
0.97048175,0.9273629,259.33334
0.97221136,0.9431812,636.0
0.89679694,0.77250355,203.0
0.9014198,0.83076847,206.0
0.98250127,0.96941066,171.0
0.9417493,0.833759,198.33334
0.70321167,0.68859315,651.0
0.96292466,0.9423992,251.0
0.83443636,0.79465497,210.33334
0.9763639,0.9492194,498.6667
0.73435676,0.6466513,528.6667
0.97675526,0.95705986,131.0
0.98071283,0.8967694,221.0
0.9459387,0.86226654,223.33334
0.68686223,0.6944202,615.0
0.6428187,0.66693825,40.0
0.9768616,0.9528818,125.333336
0.9794895,1.0125855,152.33334
0.70423913,0.6063704,377.0
0.91297853,0.8327148,450.6667
0.7945428,0.7070104,23.666668
0.71638966,0.80665326,380.6667
0.70703244,0.66236866,132.33334
0.786253,0.85724473,137.33334
0.71419114,0.55416733,206.66667
0.6851856,0.6362542,170.33334
0.8797234,0.8305582,103.0
0.9786238,0.92792976,392.6667
0.92682123,0.9306218,414.6667
0.96332306,0.94459885,157.0
0.9257845,0.81535804,175.66667
0.7264487,0.5692185,256.6667
0.6595792,0.61768156,225.0
0.71321315,0.8021897,229.0
0.8349731,0.69406486,498.0
0.6265738,0.66282034,211.33334
0.9882251,0.96733874,295.33334
0.89690125,0.7967438,123.66667
0.77784824,0.62871593,188.33334
0.72438335,0.69143474,507.0
0.8085086,0.7483315,302.0
0.9239914,0.85915464,133.66667
0.9106864,0.9095123,162.33334
0.7149676,0.71497595,572.0
0.9543373,0.83899736,27.333334
0.7686138,1.0933675,382.6667
0.64411354,0.56317574,242.66667
0.9770068,0.9146401,202.0
0.94787157,0.7968661,381.0
0.8323623,0.78345245,112.0
0.95593095,0.9314944,164.33334
0.7331769,0.7042308,130.0
0.6878679,0.7347767,284.0
0.76290363,0.6837947,329.0
0.62713885,0.66796577,342.33334
0.9802622,0.9145098,396.6667
0.5785605,0.47893,99.333336
0.75423694,0.81020796,192.66667
0.8945335,0.78342843,459.0
0.7618228,0.7394438,308.6667
0.9786858,0.87904567,155.66667
0.7223457,0.9006753,222.33334
0.7653947,0.9273753,393.6667
0.69930255,0.6770059,240.0
0.94982195,0.9243792,153.66667
0.8635246,0.87416595,140.0
0.98164546,0.94949794,560.0
0.9733462,0.89346075,128.0
0.6627418,0.6462493,138.66667
0.62932557,0.560339,174.33334
0.85706013,0.898911,592.3334
0.8654518,0.85883474,170.33334
0.58076614,0.5983137,338.6667
0.8454556,0.6592335,537.3334
0.9503771,0.83286923,107.0
0.8867416,0.7563776,359.33334
0.80879515,0.7182884,382.6667
0.6700233,0.71629137,494.6667
0.97199166,0.85754704,208.66667
0.7699921,0.61182284,169.66667
0.6880128,0.63156205,355.0
0.729723,0.61902857,247.0
0.6875784,0.6203824,235.0
0.9210621,0.72602403,459.0
0.593418,0.553229,364.0
0.9598888,0.88378656,183.66667
0.92033094,0.8213723,44.666668
0.9794082,0.95106983,250.66667
0.5196973,0.8631298,542.3334
0.79420054,0.75576115,111.333336
0.4185021,0.64370704,213.0
0.73911375,0.7981663,585.0
0.65337443,0.653859,1363.3334
0.981979,0.9738637,215.66667
0.8072917,0.8350637,449.33334
0.5061211,0.7034707,680.6667
0.9633483,0.9525298,179.33334
0.760739,0.7600198,477.33334
0.9397592,0.8808017,256.33334
0.40794942,0.17894256,1143.3334
0.7497591,0.69578254,117.333336
0.86477154,0.9009819,131.66667
0.8092772,0.7287575,389.0
0.8586674,0.6986979,185.66667
0.9760847,0.90004015,470.0
0.8181509,0.9144909,178.0
0.85955447,0.715276,98.0
0.69198227,0.6551962,380.0
0.7838663,0.7698959,111.0
0.92815197,0.90731716,393.33334
0.904679,0.85130996,82.333336
0.8997814,0.87132967,560.0
0.7307447,0.506693,474.33334
0.68035495,0.7909683,330.33334
0.8588912,0.7829992,165.0
0.95900285,0.9214972,190.33334
0.96296024,0.91883516,404.0
0.93647575,0.8308827,176.33334
0.8949188,0.96042144,124.66667
0.7445495,0.7580197,136.0
0.7333888,0.8577051,302.33334
0.731385,0.9647507,250.33334
0.7402836,0.74389094,471.33334
0.59143454,0.498851,232.0
0.51273274,0.52421373,384.0
0.8778857,0.6704167,342.33334
0.61634463,0.41790718,531.3334
0.48345798,0.62748736,215.33334
0.70957434,0.71588963,486.33334
0.5606225,0.57820517,406.33334
0.6844937,0.59124756,406.33334
0.91793907,0.8441222,444.6667
0.87713194,0.75543517,462.0
0.9762761,0.8855626,302.6667
0.81043833,0.89755213,197.33334
0.9477491,0.92269486,277.6667
0.5677247,0.74058837,1114.6667
0.61505413,0.6701862,584.6667
0.9454863,0.88205254,442.0
0.7106871,0.7356831,524.6667
0.7194755,0.6786751,138.33334
0.9671413,0.8658301,267.0
0.8592128,0.68833804,230.0
0.6564569,0.71859926,435.33334
0.86282814,0.83544123,645.0
0.7079448,0.71660036,25.0
0.9210038,0.8356168,158.0
0.8679129,0.70533895,383.0
0.9000441,0.79805726,296.33334
0.9340345,1.0387625,439.6667
0.68597806,0.72845924,212.0
0.8357816,0.79185426,176.0
0.6903924,0.6277857,81.333336
0.8019037,0.7182204,174.0
0.6760026,0.5828273,238.66667
0.4801342,0.6969618,373.33334
0.8878953,0.7148532,87.333336
0.49239212,0.5192554,158.0
0.8280451,0.66775626,269.33334
0.79660857,0.8118338,127.66667
0.9760245,0.9456297,248.66667
0.8970151,0.69455934,632.6667
0.7213504,0.78538597,260.0
0.98756444,0.9608427,370.33334
0.95049894,0.90472496,458.6667
0.8305051,0.91216743,194.0
0.68376017,0.48856843,117.66667
0.95641875,0.8682296,138.33334
0.6165029,0.68929356,45.0
0.7736127,0.58508706,208.66667
0.82513255,0.77271116,94.66667
0.6083805,0.53165483,121.0
0.49963006,0.66863394,477.33334
0.9771504,0.83047795,469.0
0.70123184,0.8345873,622.3334
0.9612922,0.91424316,332.0
0.92134535,0.8362193,366.0
0.92630124,0.95154464,183.33334
0.97269917,0.8658736,588.6667
0.9660997,0.8869638,193.0
0.8061747,0.81968546,21.333334
0.7129649,0.7885663,234.66667
0.8544542,0.78227985,355.33334
0.8574405,0.8703746,157.0
0.9282931,0.8811826,266.33334
0.9516086,0.8601486,396.0
0.67947435,0.68352723,162.0
0.9487331,0.92955065,274.6667
0.97458404,0.87134457,447.0
0.9574299,0.87414163,224.33334
0.5014385,0.6009984,549.3334
0.8686341,0.8381922,334.0
0.95540273,0.92302454,236.0
0.9039024,0.74002016,206.0
0.89368117,0.8118493,118.66667
0.88733864,0.90137976,597.0
0.75781345,0.63938534,105.66667
0.6985934,0.5676608,495.0
0.7062795,0.56116164,144.0
0.9487294,0.86355627,373.33334
0.9515389,0.8384964,554.0
0.96586436,0.8630106,333.6667
0.67280406,0.63291776,111.66667
0.9099404,0.88151276,329.6667
0.6639947,0.61923647,402.0
0.616729,0.7081871,385.33334
0.615716,0.67131424,399.0
0.75855446,0.5308762,509.33334
0.791396,0.67431366,32.333336
0.82809234,0.75597394,415.6667
0.9756834,0.93619967,355.0
0.86777085,0.7558379,390.0
0.58464086,0.51130587,199.33334
0.9293407,0.90045613,608.0
0.7053621,0.7456684,224.0
0.9449498,0.80549896,105.66667
0.7632265,0.6722374,434.6667
0.79795617,0.6643483,266.33334
0.89203167,0.83347434,85.66667
0.71585596,0.74727094,338.33334
0.7912635,0.70700824,318.0
0.9226808,0.9088825,481.0
0.98125434,0.955115,115.0
0.6752747,0.5750053,320.33334
0.7253515,0.6662595,399.33334
0.90439767,0.89616746,406.33334
0.9576971,0.92436457,233.66667
0.8179432,0.7385265,410.0
0.6439432,0.7170477,447.6667
0.78789926,0.8718207,264.0
0.9142238,0.79057145,159.33334
0.86091065,0.7488551,363.33334
0.96590567,0.9062173,77.66667
0.78502953,0.86442274,133.0
0.8398366,0.7575643,366.33334
0.91422844,0.85849446,428.33334
0.6137645,0.8786647,327.6667
0.71426195,0.67177975,355.0
0.9217423,0.84647197,277.0
0.91602063,0.8752698,354.0
0.74124956,0.627038,31.333334
0.87064666,0.72629595,202.0
0.7466247,0.7029977,476.33334
0.9258555,0.9364516,394.0
0.92542493,0.8366816,421.6667
0.8057127,0.73445654,143.33334
0.74431413,0.6110336,377.6667
0.7509565,0.6448252,246.33334
0.9677701,0.96878666,695.0
0.9625727,0.8292092,57.666668
0.91876215,0.777508,153.66667
0.9775039,0.9286789,664.0
0.9758167,0.94813144,260.33334
0.948502,0.93843454,257.6667
0.7526274,0.79800385,155.0
0.9009321,0.83821434,266.6667
0.956378,0.89559937,134.66667
0.895985,1.0622095,105.66667
0.53562915,0.6917447,493.0
0.76987,0.81997174,331.6667
0.7162417,0.83068657,351.0
0.6884734,0.66915226,195.0
0.907845,0.8372301,137.66667
0.6992089,0.6878519,162.33334
0.83400154,0.66555965,136.33334
0.963582,0.9169661,207.66667
0.96628475,0.9044436,443.33334
0.5999391,0.5937023,330.33334
0.9724226,0.9497204,199.0
0.719664,0.78088367,251.0
0.60955465,0.4381408,130.33334
0.820529,0.8911755,206.66667
0.9776668,0.90151566,141.0
0.9786403,0.93524027,313.0
0.90631884,0.8117025,229.33334
