cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.49251288,0.44541916,361.6667
0.9524819,0.9162983,263.33334
0.9584079,0.9381625,636.0
0.83792436,0.7333271,203.0
0.8390929,0.7912137,205.66667
0.97122467,0.9633719,171.0
0.9061009,0.80446976,197.0
0.5985637,0.63045496,651.0
0.9440698,0.93335485,251.0
0.74705315,0.7814374,214.0
0.96123874,0.93808764,498.6667
0.62503016,0.5806397,528.3334
0.96189976,0.94911385,131.0
0.9697145,0.8794054,221.0
0.9052187,0.8279349,223.33334
0.5425736,0.62779725,1746.6667
0.4968029,0.77104545,51.0
0.9608536,0.9440689,125.333336
0.9683385,1.0187519,152.33334
0.5865833,0.62338316,415.33334
0.86916894,0.7943944,446.0
0.67213106,0.6533489,24.333334
0.6091732,0.8001431,381.33334
0.5825517,0.6767287,143.33334
0.69651544,0.83336926,134.66667
0.59400606,0.52947557,207.0
0.55185723,0.56887347,170.33334
0.8117095,0.8089837,103.0
0.9635278,0.9159621,392.6667
0.8851719,0.9197444,415.0
0.94093215,0.9349019,157.0
0.8714065,0.7788758,175.0
0.59749573,0.46856517,256.6667
0.53861046,0.6022839,220.33334
0.6167015,0.8796582,230.0
0.7529103,0.6278727,492.33334
0.5011289,0.6759654,216.33334
0.98089164,0.96124136,295.33334
0.84981894,0.7746925,123.66667
0.67638254,0.6023662,191.66667
0.6137407,0.6606023,507.0
0.7324418,0.7075492,301.33334
0.8796234,0.8498857,133.66667
0.850839,0.89215136,162.33334
0.59100384,0.670755,572.0
0.9222673,0.80137223,27.333334
0.665382,1.1439668,382.6667
0.5201733,0.49498376,242.66667
0.95974433,0.90008247,202.0
0.9129977,0.7747216,381.0
0.75131035,0.7536138,112.0
0.928936,0.918828,164.66667
0.6031519,0.6229366,131.0
0.5981647,0.6870729,283.6667
0.6707363,0.6531803,329.0
0.51630646,0.69829524,342.33334
0.9664156,0.90266913,396.6667
0.42103085,0.3629988,258.0
0.6678804,0.7879145,192.66667
0.83230054,0.74573153,459.0
0.6666179,0.68789405,308.6667
0.965033,0.8587956,157.0
0.6174974,0.8800191,222.33334
0.6887104,0.89647996,393.6667
0.57443,0.61797374,240.0
0.91298187,0.9074267,153.66667
0.7993938,0.8527557,137.0
0.96922815,0.94383645,560.0
0.9566748,0.87088716,128.0
0.5034178,0.5910088,137.33334
0.49801517,0.5044108,194.66667
0.79655075,0.8781756,590.3334
0.8035573,0.82070494,170.33334
0.43904337,0.58023214,291.0
0.7744808,0.6512047,537.6667
0.9203776,0.7985382,106.333336
0.8241173,0.7005714,359.33334
0.73162127,0.66215503,382.6667
0.5482999,0.60259885,494.6667
0.9527909,0.8243034,208.66667
0.69050586,0.5355217,173.33334
0.6249988,0.57216173,389.0
0.60702366,0.5740291,247.0
0.4899699,0.5354493,282.6667
0.87702984,0.70058453,459.0
0.37136585,0.6684141,55.666668
0.93155307,0.870445,184.33334
0.8729458,0.7876291,44.666668
0.96465707,0.9395444,250.66667
0.39918858,0.9446973,512.6667
0.6855824,0.73167247,112.0
0.350437,0.68649787,272.0
0.6500589,0.77968735,585.0
0.5529479,0.6919316,1356.0
0.9705632,0.9709126,215.66667
0.7233546,0.8388411,457.6667
0.30594045,1.1077666,680.6667
0.9410054,0.94444966,179.33334
0.6720397,0.72541827,477.33334
0.90417856,0.8636634,256.33334
0.17023548,0.16368227,1469.0
0.6602459,0.6688246,158.0
0.80308867,0.8795182,131.66667
0.7286041,0.744182,389.0
0.77821946,0.63334644,185.33334
0.9593198,0.8819258,470.0
0.7549605,0.90182465,177.66667
0.7931994,0.65024525,107.333336
0.598575,0.63392156,379.6667
0.68584347,0.79249233,110.66667
0.8911008,0.8900918,393.33334
0.8630464,0.8193445,82.66667
0.86075604,0.8660842,559.6667
0.5443604,0.30818057,525.6667
0.56673825,0.80266714,316.0
0.7806456,0.735422,165.0
0.93053925,0.9095882,193.33334
0.93694305,0.9032687,404.0
0.9033092,0.8172874,176.33334
0.8467385,0.95475376,123.333336
0.63187945,0.7278198,136.66667
0.59758186,0.84940076,298.33334
0.59128565,1.1477224,286.6667
0.6507125,0.65052503,462.33334
0.40449065,0.34165645,234.33334
0.32663494,0.4377107,592.6667
0.8092432,0.6351869,342.33334
0.51853603,0.42602775,531.6667
0.39317364,0.69419307,206.66667
0.6204072,0.69364846,483.6667
