cross_correlation,max_amplitude_difference,p_wave_onset_difference
0.06846617,0.7913703,921.6667
0.6197209,0.8193431,263.33334
0.712866,0.94298095,639.3334
0.27284038,0.46170515,204.33334
0.23790197,0.60188764,303.0
0.727822,0.88709396,170.66667
0.4462905,0.63509524,197.0
0.15853786,0.812201,2264.6667
0.56727743,0.8810496,250.0
0.18283036,0.9653115,394.33334
0.67316663,0.833694,497.33334
0.0673816,0.4536686,1506.3334
0.7152032,0.8557223,131.0
0.702487,0.8014785,219.33334
0.39612442,0.6439055,1253.3334
0.04095979,0.4034904,3373.6667
0.17773059,3.1927536,53.666668
0.66688794,0.8320765,124.333336
0.73131675,1.0716751,283.6667
0.1338303,1.7043612,1149.6667
0.35754734,0.69844806,236.0
0.077279516,0.4175822,2012.6667
0.10035875,0.95482314,436.6667
0.10284048,0.55667865,891.3334
0.1563134,0.6979064,1285.0
0.16680452,1.0967281,464.0
0.16587386,1.0687933,235.66667
0.18511836,0.3680752,281.6667
0.6104113,0.8365473,391.0
0.5551725,0.84187734,846.0
0.5743302,0.8580041,159.0
0.33836374,0.5039406,171.66667
0.09706014,0.4640029,2317.3335
0.089366786,0.3800834,1099.6667
0.14402635,2.5761485,453.0
0.10707657,0.36597264,1198.0
0.10377606,0.5544449,1056.3334
0.7745489,0.89738023,295.33334
0.051694896,0.2678901,2256.6667
0.111242,0.70816636,155.0
0.1283774,0.6844224,3070.0
0.12196382,0.30243146,858.0
0.3725507,0.74367326,130.66667
0.2788357,0.7646408,162.33334
0.11530991,0.604541,1838.0
0.61029804,0.5941887,33.333336
0.17225343,1.6817169,379.6667
0.07836175,0.24610087,2137.6667
0.55212325,0.83292717,202.0
0.40078336,0.6211292,713.6667
0.15037125,0.48634097,1273.0
0.50809103,0.8238276,165.33334
0.102777615,0.42491993,716.0
0.08850225,0.3989683,1240.0
0.088400245,0.35666665,1181.0
0.10685828,0.81291866,813.0
0.62411374,0.8255715,396.33334
0.1200341,1.1803856,735.3334
0.22079794,1.0203437,199.66667
0.34563494,0.9826312,466.33334
0.10558473,0.2960555,1701.3334
0.60585344,0.7193708,157.33334
0.16797635,1.1278511,1656.6667
0.209975,0.87099856,388.6667
0.12963095,1.8423557,942.3334
0.4346441,0.83572674,147.0
0.3148865,0.95684505,149.33334
0.67948765,0.9018287,1223.6667
0.66482985,0.73602384,128.33334
0.10419467,0.52065384,3413.6667
0.09269743,0.68177557,1135.0
0.26580852,0.7080358,1599.3334
0.33484125,0.80680484,172.66667
0.17008159,2.225961,123.333336
0.087860726,0.26646456,363.6667
0.43217462,0.4326765,122.333336
0.1405822,0.1788616,353.0
0.20121144,0.33144474,692.3334
0.13841559,2.4413018,1451.6667
0.5830288,0.66395885,205.66667
0.101179525,0.1998745,588.3334
0.06388429,0.62747645,1989.3334
0.07535603,0.84450376,493.33334
0.25710782,2.2614374,372.6667
0.467406,0.71967435,459.0
0.15657438,3.940629,71.66667
0.45217976,0.75662583,185.33334
0.31255227,0.4802961,42.666668
0.6385046,0.8102576,251.0
0.053855907,1.7600834,1855.6667
0.1164868,1.0212693,765.6667
0.070141554,2.2640607,2361.0
0.047854774,0.47126263,2551.6667
0.12633051,3.0470643,2009.0
0.72406816,0.9462268,214.0
0.16249402,1.5870975,1329.3334
0.1447052,6.5988274,680.6667
0.5171119,0.9162197,179.0
0.12165342,0.8108625,2341.3335
0.4176898,0.8999226,335.6667
0.107282415,0.7620346,1469.0
0.07287219,0.29780433,1145.6667
0.37673852,0.7123333,137.33334
0.09865175,0.48788494,1267.0
0.09617847,0.14796129,857.6667
0.618178,0.7213048,470.33334
0.24133538,0.8985008,179.66667
0.12057148,0.22212264,1049.0
0.08303751,0.40361685,2508.0
0.13372502,0.76466155,181.66667
0.4184615,0.76334274,442.33334
0.4010973,0.7300603,80.66667
0.56030804,0.8755514,595.3334
0.12017416,1.5999975,1927.3334
0.08325488,0.83097005,872.6667
0.19889164,0.54008514,181.66667
0.43950152,0.81837744,193.66667
0.5596203,0.77970684,417.6667
0.38046712,0.50976557,179.0
0.42411107,0.9680454,183.0
0.12590486,1.1045067,1028.6667
0.10887413,1.5866823,468.6667
0.026759516,2.0013425,463.0
0.102406844,0.7324161,2021.6667
0.12916379,0.5932578,695.6667
0.11674754,1.1082015,1915.3334
0.24121568,0.42805624,420.33334
0.10739084,0.5599891,134.0
0.11761185,2.2185898,189.66667
0.16086504,1.3385156,154.33334
0.117609054,1.1020188,319.6667
0.07493639,2.0820634,601.3334
0.299602,0.55062103,508.6667
0.057210486,0.23316976,2745.6667
0.5952441,0.72032756,431.33334
0.28659713,1.032783,536.6667
0.6327763,0.73294896,277.6667
0.110271975,0.8441632,3757.0
0.10030948,0.5085317,3195.0
0.42519543,0.7234757,516.3334
0.108753726,0.68640506,2003.0
0.0834804,0.4245193,377.6667
0.5457298,0.63850796,268.0
0.09325269,0.28355533,525.3334
0.1049284,1.2538304,434.33334
0.1342697,0.40431505,1746.3334
0.18308936,0.670846,284.33334
0.39274973,0.43778092,158.33334
0.15413992,0.40761945,586.3334
0.23395523,0.67887133,1234.6667
0.41265863,1.1967297,442.6667
0.12139985,1.1538157,863.0
0.28332332,0.3682406,176.66667
0.09459452,0.3645844,529.6667
0.18026839,1.010967,161.66667
0.090265006,0.37266597,794.0
0.21725813,3.144463,676.6667
0.13096568,0.37998864,260.6667
0.13100678,1.7735685,2149.6667
0.13770993,0.31711012,1781.3334
0.39590812,0.4487939,896.6667
0.67963237,0.790631,248.66667
0.11895203,0.2137901,2718.3335
0.0711219,0.5432231,1027.0
0.7769293,0.89073074,369.6667
0.51198757,0.77523327,496.33334
0.11278778,0.35278258,1056.6667
0.08748567,0.363779,1802.3334
0.4824528,0.7184267,139.66667
0.078526095,0.45665115,429.33334
0.1537706,2.786022,1175.3334
0.118465975,0.5448781,1574.0
0.072220765,0.45429358,987.6667
0.108423054,1.0685784,992.6667
0.5725152,0.6519741,470.0
0.107284866,1.2926092,3060.0
0.47498545,0.7110666,337.0
0.3997829,0.7887248,333.33334
0.5114369,0.83237934,819.3334
0.61013955,0.5463624,600.3334
0.52604216,0.77511305,214.33334
0.2886173,0.81842136,473.6667
0.14989787,1.1653843,256.33334
0.23534048,0.5947794,633.6667
0.19288938,0.81459415,153.66667
0.38940892,0.8018992,359.6667
0.5037619,0.6037006,393.6667
0.1248404,0.44659352,1037.3334
0.46974015,0.9185912,1403.0
0.6815207,0.73692006,436.33334
0.56157124,0.80092394,222.66667
0.11449926,1.128735,3457.6667
0.09103571,0.24904889,845.6667
0.63078475,0.79287714,233.66667
0.04769487,0.10301801,1639.6667
0.17119926,0.39548874,281.33334
0.29084784,0.62907624,2044.0
0.13298163,0.38841468,753.0
0.1154391,1.0936947,1602.3334
0.1036253,0.43014067,434.33334
0.48099944,0.66554946,684.3334
0.48060203,0.7541322,1586.6667
0.36840302,0.38389906,333.33334
0.11973053,0.8450408,2729.0
0.29747874,0.6403193,328.6667
0.13080375,0.68484515,248.33334
0.09852078,0.59505355,1210.6667
0.10134147,0.8720975,1765.6667
0.13290201,1.5272703,308.33334
0.17387651,1.0057409,150.0
0.12916556,0.8123686,846.6667
0.6545441,0.80234754,351.6667
0.055854257,0.2323162,2705.6667
0.113741025,0.75679564,355.0
0.4277808,0.7077619,2685.0
0.13723676,1.276253,235.66667
0.33305573,0.6908807,103.0
0.18523622,1.2941629,253.66667
0.30235082,0.56589895,309.0
0.43271536,0.5363442,712.0
0.116155,0.60114783,362.0
0.07683617,0.19315985,3372.6667
0.29083318,0.34312806,1635.0
0.60726875,0.8161256,115.0
0.1362968,1.0926211,1353.0
0.092371926,0.26398128,1190.0
0.33301008,3.5914369,2783.6667
0.55246806,0.8522162,232.33334
0.11943307,0.39472327,1052.3334
0.13829672,0.7890662,1211.3334
0.2452492,0.94737566,373.6667
0.12574254,0.3377878,667.3334
0.11344382,0.4517519,383.33334
0.524146,0.70329607,76.0
0.16308956,1.3641337,115.333336
0.13938224,0.32703435,1139.6667
0.06659507,0.19712101,2676.6667
0.12415223,0.67884815,345.0
